pmid,arm_id,arm_type,sensation,value,instrument
26161117,arm_ALBP,other,soreness,not_reported (visible in Figure 5 only; SHAM bar lower than ACUP),"10-point scale (0 = none, 1–3 = mild, 4–6 = moderate, 7–9 = strong, 10 = unbearable)"
26161117,arm_ALBP,other,numbness,not_reported (visible in Figure 5 only),"10-point scale (0 = none, 1–3 = mild, 4–6 = moderate, 7–9 = strong, 10 = unbearable)"
26161117,arm_ALBP,other,numbness,not_reported (visible in Figure 5 only),"10-point scale (0 = none, 1–3 = mild, 4–6 = moderate, 7–9 = strong, 10 = unbearable)"
26161117,arm_ALBP,other,heaviness,not_reported (visible in Figure 5 only),"10-point scale (0 = none, 1–3 = mild, 4–6 = moderate, 7–9 = strong, 10 = unbearable)"
26161117,arm_ALBP,other,heaviness,not_reported (visible in Figure 5 only),"10-point scale (0 = none, 1–3 = mild, 4–6 = moderate, 7–9 = strong, 10 = unbearable)"
26161117,arm_ALBP,other,fullness,not_reported (visible in Figure 5 only; ACUP bar notably higher than SHAM),"10-point scale (0 = none, 1–3 = mild, 4–6 = moderate, 7–9 = strong, 10 = unbearable)"
26161117,arm_ALBP,other,fullness,not_reported (visible in Figure 5 only),"10-point scale (0 = none, 1–3 = mild, 4–6 = moderate, 7–9 = strong, 10 = unbearable)"
26839078,not_applicable,,"deqi sensation: soreness, numbness, heaviness, distention or dull pain at the site of needle placement",deqi sensation acquired in all treatment groups,not_reported
27242492,arm_MDD,verum_acupuncture,fullness,reported as primary Deqi sensation; frequency and intensity shown in Figure 2,100-point visual analog scale (VAS)
27242492,arm_MDD,verum_acupuncture,pain,reported as primary Deqi sensation; frequency and intensity shown in Figure 2,100-point visual analog scale (VAS)
27242492,arm_MDD,verum_acupuncture,numbness,reported as primary Deqi sensation; frequency and intensity shown in Figure 2,100-point visual analog scale (VAS)
27242492,arm_MDD,verum_acupuncture,soreness,reported as primary Deqi sensation; frequency and intensity shown in Figure 2,100-point visual analog scale (VAS)
27242492,arm_MDD,verum_acupuncture,tingling,reported in Figure 2,100-point visual analog scale (VAS)
27242492,arm_MDD,verum_acupuncture,"overall Deqi sensations including: aching, soreness, numbness, fullness, sharp or dull pain, pressure, heaviness, warmth, coolness, tingling, itching, and any others","VAS: 0 = no sensation, 10–30 = mild, 40–60 = moderate, 70–80 = strong, 90 = severe and 100 = unbearable sensation. Main Deqi sensations included fullness, dull pain, numbness, soreness, tingling and heaviness.",100-point visual analog scale (VAS)
27242911,arm_included_studies,other,Deqi (needle sensation),82 studies required Deqi (needle sensation) during acupuncture stimulation,not_reported (requirement reported across studies)
27242911,arm_included_studies,other,needle sensation,"41 studies used VAS (most commonly used, 68.3%)",10-point Visual Analogue Scale (VAS)
27242911,arm_included_studies,other,needle sensation,5 studies,Massachusetts General Hospital Acupuncture Sensation Scale (MASS)
27242911,arm_included_studies,other,needle sensation,3 studies,MASS and VAS combined
27242911,arm_included_studies,other,needle sensation,3 studies,Subject Acupuncture Sensation Scale (SASS)
27242911,arm_included_studies,other,needle sensation,1 study,6-point Likert scale
27242911,arm_included_studies,other,needle sensation,1 study,Park questionnaire
27242911,arm_included_studies,other,needle sensation,1 study,Psychophysical Rating of Needling Sensation (PRNS)
27242911,arm_included_studies,other,needle sensation,1 study,Needle Sensation Questionnaire (NSQ)
28053642,arm_left_gb34,verum_acupuncture,Total deqi score,13.00 ± 4.07,deqi sensation rating (12 subscales plus total)
28053642,arm_right_gb34,verum_acupuncture,Total deqi score,16.82 ± 3.82,deqi sensation rating (12 subscales plus total)
28053642,arm_left_gb34,verum_acupuncture,Aching score,"Median 0, range 0~4",deqi sensation rating
28053642,arm_right_gb34,verum_acupuncture,Aching score,"Median 0, range 0~5",deqi sensation rating
28053642,arm_left_gb34,verum_acupuncture,Dull pain score,"Median 0, range 0~3",deqi sensation rating
28053642,arm_right_gb34,verum_acupuncture,Dull pain score,"Median 0, range 0~5",deqi sensation rating
28053642,arm_left_gb34,verum_acupuncture,Soreness score,"Median 0, range 0~4",deqi sensation rating
28053642,arm_right_gb34,verum_acupuncture,Soreness score,"Median 0, range 0~5",deqi sensation rating
28053642,arm_left_gb34,verum_acupuncture,Warm score,"Median 0, range 0~5",deqi sensation rating
28053642,arm_right_gb34,verum_acupuncture,Warm score,"Median 0, range 0~4",deqi sensation rating
28053642,arm_left_gb34,verum_acupuncture,Cold score,"Median 0, range 0",deqi sensation rating
28053642,arm_right_gb34,verum_acupuncture,Cold score,"Median 0, range 0~2",deqi sensation rating
28053642,arm_left_gb34,verum_acupuncture,Tingling score,"Median 4.5, range 0~6",deqi sensation rating
28053642,arm_right_gb34,verum_acupuncture,Tingling score,"Median 5, range 2~7",deqi sensation rating
28053642,arm_left_gb34,verum_acupuncture,Throbbing score,"Median 0, range 0~5",deqi sensation rating
28053642,arm_right_gb34,verum_acupuncture,Throbbing score,"Median 0, range 0~4",deqi sensation rating
28053642,arm_left_gb34,verum_acupuncture,Sharp pain score,"Median 0, range 0~7",deqi sensation rating
28053642,arm_right_gb34,verum_acupuncture,Sharp pain score,"Median 1, range 0~7",deqi sensation rating
28053642,arm_left_gb34,verum_acupuncture,Heaviness score,"Median 0, range 0~7",deqi sensation rating
28053642,arm_right_gb34,verum_acupuncture,Heaviness score,"Median 0, range 0~5",deqi sensation rating
28053642,arm_left_gb34,verum_acupuncture,Numbness score,"Median 0, range 0~5",deqi sensation rating
28053642,arm_right_gb34,verum_acupuncture,Numbness score,"Median 0, range 0~4",deqi sensation rating
28053642,arm_left_gb34,verum_acupuncture,Fullness,"Median 0, range 0~7",deqi sensation rating
28053642,arm_right_gb34,verum_acupuncture,Fullness,"Median 0, range 0~4",deqi sensation rating
28053642,arm_left_gb34,verum_acupuncture,Deep pressure score,"Median 0, range 0~4",deqi sensation rating
28053642,arm_right_gb34,verum_acupuncture,Deep pressure score,"Median 0, range 0~5",deqi sensation rating
28334999,arm_local,verum_acupuncture,characteristic deqi acupuncture sensation,manual stimulation at all locations was performed to induce characteristic deqi acupuncture sensation,not_reported
28334999,arm_distal,verum_acupuncture,characteristic deqi acupuncture sensation,manual stimulation at all locations was performed to induce characteristic deqi acupuncture sensation,not_reported
28443010,not_applicable,,sharp_pain,no one reported the sharp pain,questionnaire (unspecified)
28443010,not_applicable,,De-qi experience,subjects were asked to fill questionnaires to record their experience of De-qi,questionnaire (unspecified)
28480365,not_applicable,,needle sensation (deqi) mentioned in context of manipulation,"after developing needle sensation, twirling and lifting/thrusting manipulation conducted",not_reported
29204113,arm_ea,verum_acupuncture,Qi sensation of acupuncture (deqi),After achieving a Qi sensation of acupuncture,not_reported
29204113,arm_moxa,verum_acupuncture,warmth,"During moxibustion treatment, the abdomen of the patient was always warm. The patient was pleased and felt positive regarding the warm stimulation generated by moxibustion treatment, which increased the attention of the patient on the abdomen.",not_reported
29343693,real,verum_acupuncture,Aching,"2.29±1.87, p<0.05",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,phnt,sham_acupuncture,Aching,"0.44±0.81, p<0.05",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,real,verum_acupuncture,soreness,"2.04±1.70, p<0.05",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,phnt,sham_acupuncture,soreness,"0.33±0.97, p = 0.15",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,real,verum_acupuncture,heaviness,"2.44±1.84, p<0.05",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,phnt,sham_acupuncture,heaviness,"0.57±1.23, p<0.05",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,real,verum_acupuncture,fullness,"1.86±1.56, p<0.05",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,phnt,sham_acupuncture,fullness,"0.25±0.72, p = 0.14",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,real,verum_acupuncture,tingling,"2.21±1.85, p<0.05",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,phnt,sham_acupuncture,tingling,"0.26±0.96, p = 0.24",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,real,verum_acupuncture,pain,"1.42±1.29, p<0.05",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,phnt,sham_acupuncture,pain,"0.28±0.72, p = 0.10",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,real,verum_acupuncture,sharp_pain,"2.06±1.79, p<0.05",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,phnt,sham_acupuncture,sharp_pain,"0.26±0.71, p = 0.12",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,real,verum_acupuncture,MASS index,"2.88±1.80, p<0.05",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29343693,phnt,sham_acupuncture,MASS index,"0.61±1.30, p<0.05",in-house Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS) Index
29563830,contra_group,verum_acupuncture,deqi sensation (general),"lifting, thrusting, and twirling approximately 180° was applied to induce the deqi sensation",not_reported
29563830,ipsi_group,verum_acupuncture,deqi sensation (general),"lifting, thrusting, and twirling approximately 180° was applied to induce the deqi sensation",not_reported
29904344,arm_pms_eas,verum_acupuncture,overall Deqi sensations,"Soreness, numbness, fullness, heaviness and tingling were the most commonly reported Deqi sensations (see Figure 2)","visual analog scale (VAS); includes sensations of soreness, numbness, fullness, heaviness, tingling, coolness, warmth, sharp pain, dull pain, aching and pressure"
29904344,arm_pms_eas,verum_acupuncture,soreness,not_reported_exact_value (highest intensity per Figure 2),VAS (visual analog scale)
29904344,arm_pms_eas,verum_acupuncture,numbness,not_reported_exact_value (among highest intensity per Figure 2),VAS (visual analog scale)
29904344,arm_pms_eas,verum_acupuncture,fullness,not_reported_exact_value (among highest intensity per Figure 2),VAS (visual analog scale)
29904344,arm_pms_eas,verum_acupuncture,heaviness,not_reported_exact_value (among highest intensity per Figure 2),VAS (visual analog scale)
29904344,arm_pms_eas,verum_acupuncture,tingling,not_reported_exact_value (among highest intensity per Figure 2),VAS (visual analog scale)
29904344,arm_pms_eas,verum_acupuncture,warmth,not_reported_exact_value (lower intensity per Figure 2),VAS (visual analog scale)
29904344,arm_pms_eas,verum_acupuncture,sharp_pain,not_reported_exact_value (lower intensity per Figure 2),VAS (visual analog scale)
29904344,arm_pms_eas,verum_acupuncture,pain,not_reported_exact_value (lower intensity per Figure 2),VAS (visual analog scale)
29951105,arm_A,verum_acupuncture,"de qi (including numbness, soreness, distention, heaviness, and other sensations)",not_reported,not_reported
30914909,arm_XNKQ,verum_acupuncture,MASS index,4.17 95%CI[3.34;5.01],Massachusetts General Hospital Acupuncture Sensation Scale (MASS)
30914909,arm_npws,sham_acupuncture,MASS index,3.44[2.54;4.34],Massachusetts General Hospital Acupuncture Sensation Scale (MASS)
30914909,arm_pns,sham_acupuncture,MASS index,3.52[2.65;4.39],Massachusetts General Hospital Acupuncture Sensation Scale (MASS)
30914909,arm_npns,sham_acupuncture,MASS index,2.29[1.58;3.00],Massachusetts General Hospital Acupuncture Sensation Scale (MASS)
30914909,not_applicable,,MASS index — factor stimulation main effect,not_reported,Massachusetts General Hospital Acupuncture Sensation Scale (MASS)
30914909,not_applicable,,MASS index — factor location main effect,not_reported,Massachusetts General Hospital Acupuncture Sensation Scale (MASS)
31636536,arm_REAL,verum_acupuncture,"Overall acupuncture sensation (Mass Index), soreness, tingling, and sharp pain reported as greater in REAL than PHNT (referenced from Lee et al., 2014)","Greater overall acupuncture sensation (Mass Index), soreness, tingling, and sharp pain than non-specific components (referenced from Lee et al., 2014)","Mass Index (Kong et al., 2007); acupuncture-related sensations"
31636536,arm_PHNT,sham_acupuncture,"Deep pressure, heaviness, fullness, and numbness","Needling credibility induces parasympathetic activation and vicarious acupuncture (deqi) sensations (deep pressure, heaviness, fullness, and numbness) (Lee et al., 2014)",Vicarious acupuncture (deqi) sensations
31636536,arm_REAL,verum_acupuncture,pain,4.74 ± 1.00/10,"VAS (0–10, 11-point visual analog scale)"
31636536,arm_PHNT,sham_acupuncture,pain,5.54 ± 0.83,"VAS (0–10, 11-point visual analog scale)"
31636536,arm_REAL,verum_acupuncture,pain,not_reported,"VAS (0–10, 11-point visual analog scale)"
31636536,arm_PHNT,sham_acupuncture,pain,not_reported,"VAS (0–10, 11-point visual analog scale)"
32377180,arm_contra,verum_acupuncture,"Deqi sensation (soreness, numbness, distention, or radiating)","Manual acupuncture was applied to achieve the Deqi sensation, which is a sensation of soreness, numbness, distention, or radiating that indicates effective needling",not_reported
32377180,arm_ipsi,verum_acupuncture,"Deqi sensation (soreness, numbness, distention, or radiating)","Manual acupuncture was applied to achieve the Deqi sensation, which is a sensation of soreness, numbness, distention, or radiating that indicates effective needling",not_reported
32807158,S_Acu,verum_acupuncture,soreness,1.74 ± 0.76,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,M_Acu,verum_acupuncture,soreness,2.02 ± 0.77,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,N_Acu,sham_acupuncture,soreness,1.93 ± 0.74,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,S_Acu,verum_acupuncture,numbness,1.74 ± 0.69,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,M_Acu,verum_acupuncture,numbness,1.91 ± 0.68,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,N_Acu,sham_acupuncture,numbness,1.79 ± 0.68,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,S_Acu,verum_acupuncture,heaviness,2.74 ± 0.76,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,M_Acu,verum_acupuncture,heaviness,2.98 ± 0.80,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,N_Acu,sham_acupuncture,heaviness,2.77 ± 0.78,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,S_Acu,verum_acupuncture,warmth,1.51 ± 0.74,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,M_Acu,verum_acupuncture,warmth,1.58 ± 0.79,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,N_Acu,sham_acupuncture,warmth,1.47 ± 0.74,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,S_Acu,verum_acupuncture,sharp_pain,2.74 ± 0.76,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,M_Acu,verum_acupuncture,sharp_pain,2.93 ± 0.80,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,N_Acu,sham_acupuncture,sharp_pain,2.86 ± 0.74,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,S_Acu,verum_acupuncture,pain,2.56 ± 0.67,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,M_Acu,verum_acupuncture,pain,2.65 ± 0.65,Massachusetts General Hospital acupuncture sensation scales (MASS)
32807158,N_Acu,sham_acupuncture,pain,2.58 ± 0.66,Massachusetts General Hospital acupuncture sensation scales (MASS)
33013312,arm_real,verum_acupuncture,"soreness, numbness, distension and heaviness","deqi was obtained (soreness, numbness, distension and heaviness)",not_reported
33146953,not_applicable,,"soreness, numbness, heaviness, warmth, coldness, sharp pain, and dull pain",not_reported,Massachusetts General Hospital acupuncture sensation scale (MASS)
33314799,not_applicable,,"MASS Index (weighted summation of 13 sensations including Soreness, Aching, Deep Pressure, Tingling, etc.; 0=none; 10=unbearable scale)",EA: approximately 3-4 across sessions; ML: approximately 1-2 across sessions (values from Figure 2B; exact numeric values not reported in text),MGH Acupuncture Sensation Scale (MASS)
33384580,arm_IBS1st,verum_acupuncture,"Deqi (a sensation of soreness, numbness, fullness, and heaviness, and/or adjacent muscle twitching)",not_reported,not_reported
33551385,arm_real_acu,verum_acupuncture,de-qi; reportedly includes tingling and heaviness and numbness,"The sense of 'de-qi' reportedly includes tingling and heaviness and numbness, and the perception of sensation induced by acupuncture stimulation is associated with time-consuming complicated processing in the central nervous system.",not_reported
33560579,arm_effective,verum_acupuncture,significant needle reaction (Deqi),significant needle reaction (Deqi) was achieved before commencing 15-min session,not_reported (traditional subjective assessment)
33560579,arm_sham,sham_acupuncture,Deqi absent,without achieving Deqi,not_reported
33776442,arm_EA,verum_acupuncture,soreness,3.70±1.56 (1–6),Visual Analogue Scale (VAS)
34108856,arm_RA,verum_acupuncture,De qi sensation,patients were responsive to acupuncture and able to attain the feeling of De qi (inclusion criterion),not_reported
34431029,arm_TG,verum_acupuncture,"De-qi sensation (a tingling, numbness, and heaviness feelings)",De-qi sensation was triggered by the to-and-fro rotation of the needles for 10 s,not_reported
34483822,arm_acupuncture,verum_acupuncture,"deqi index (composite MASS index calculated from VAS scores for suan, ma, zhang, tong, zouchuan, zhong)",approximately 3.5 (estimated from Figure 3; exact value not reported in text),Massachusetts General Hospital Acupuncture Sensation Scale (MASS); visual analog scale (VAS) for six deqi sensations
34483822,arm_acupuncture,verum_acupuncture,deqi index (composite MASS index),approximately 1 (estimated from Figure 3; exact value not reported in text),Massachusetts General Hospital Acupuncture Sensation Scale (MASS); visual analog scale (VAS)
34483822,arm_acupuncture,verum_acupuncture,deqi index (composite MASS index),approximately 1 (estimated from Figure 3; exact value not reported in text),Massachusetts General Hospital Acupuncture Sensation Scale (MASS); visual analog scale (VAS)
34483822,arm_acupuncture,verum_acupuncture,suan (aching or soreness),not_reported,VAS for deqi sensations
34483822,arm_acupuncture,verum_acupuncture,ma (numbness or tingling),not_reported,VAS for deqi sensations
34483822,arm_acupuncture,verum_acupuncture,zhang (fullness/distention or pressure),not_reported,VAS for deqi sensations
34483822,arm_acupuncture,verum_acupuncture,tong (dull pain),not_reported,VAS for deqi sensations
34483822,arm_acupuncture,verum_acupuncture,"zouchuan (spreading, a feeling of extension from the acupuncture position to the arm)",not_reported,VAS for deqi sensations
34483822,arm_acupuncture,verum_acupuncture,zhong (heaviness),not_reported,VAS for deqi sensations
34671239,TA,verum_acupuncture,"Deqi sensation: soreness, numbness, distention, or radiating","Stimulation was repeated one to three times to achieve the Deqi sensation (a sensation of soreness, numbness, distention, or radiating that indicates effective needling)",not_reported
34671239,SA,sham_acupuncture,Deqi sensation,subjects in the SA group did not experience Deqi,not_reported
34720908,arm_IBSD,verum_acupuncture,"deqi sense with soreness, numbness, heaviness, and distention",not_reported,not_reported
35048524,arm_cnsp,verum_acupuncture,"deqi sensation described as soreness, numbness, distention, and heaviness","deqi sensation (soreness, numbness, distention, and heaviness) was obtained",not_reported
35115998,arm_KOA,verum_acupuncture,"de-qi sensation (soreness, numbness, fullness, and heaviness)","When the participants received de-qi sensation (soreness, numbness, fullness, and heaviness)",not_reported
35153654,arm_tinnitus,verum_acupuncture,deqi sensation,the acupuncturist manipulated the needle within the tolerance of the subject until the subjects obtained the deqi sensation without sharp pain,not_reported
35557556,arm_groupA,verum_acupuncture,"deqi sensation (lifting, thrusting, twirling to achieve deqi)","deqi sensation achieved via lifting and thrusting with amplitude 3–5 mm, twirling 90–180°",not_reported
35557556,arm_groupB,active_control,"deqi sensation (lifting, thrusting, twirling to achieve deqi)","deqi sensation achieved via lifting and thrusting with amplitude 3–5 mm, twirling 90–180°",not_reported
35832324,arm_neiguan,verum_acupuncture,"soreness, numbness, fullness, and aching",acupuncture at Neiguan obviously resulted in sensations compared to non-acupoint acupuncture,feeling questionnaires about the sensations
36051643,VA,verum_acupuncture,"deqi sensation: soreness, numbness, heaviness, swelling, or dull pain",patients were required to obtain deqi sensation,not_reported
36102803,arm_exp,verum_acupuncture,pain,69 ± 6 mm,Visual Analog Scale (VAS)
36102803,arm_exp,verum_acupuncture,pain,21 ± 3 mm,Visual Analog Scale (VAS)
36102803,arm_ctrl,waitlist,pain,61 ± 3 mm,Visual Analog Scale (VAS)
36102803,arm_ctrl,waitlist,pain,55 ± 4 mm,Visual Analog Scale (VAS)
36744205,arm_patients,verum_acupuncture,"Deqi sensation (soreness, numbness, distention, or radiating)","Deqi was induced throughout treatment by twirling and rotating needle sheath; described as soreness, numbness, distention, or radiating",not_reported
36846148,not_applicable,,"Deqi: aching, pressure, heaviness, fullness, and numbness among other feelings","All participants reported their experience ('Deqi') with acupuncture stimulation. Deqi featured aching, pressure, heaviness, fullness, and numbness among other feelings",not_reported
36890655,arm_VA,verum_acupuncture,average C-MASS ratings for all ten descriptors,not_reported,Chinese version of the modified Massachusetts General Hospital Acupuncture Sensation Scale (C-MASS)
36890655,arm_SA,sham_acupuncture,average C-MASS ratings for all ten descriptors,not_reported,Chinese version of the modified Massachusetts General Hospital Acupuncture Sensation Scale (C-MASS)
37206312,not_applicable,,"overall comparison among ERR, LTRei, and LTRed (seven categories: soreness, numbness, fullness, heaviness, aching, throbbing, and other sensations)","F(2,60) = 2.917, p = 0.062, η2 = 0.089",Chinese version of the modified Massachusetts General Hospital Acupuncture Sensation Scale (C-MMASS)
37305743,arm_SA,verum_acupuncture,deqi sensation (general),causing a deqi sensation (mentioned as intended outcome of needle manipulation),not_reported
37383656,TATG,verum_acupuncture,"De qi: soreness, dullness, numbness, heaviness, and other feelings","patients obtained De qi; a combination of sensations including soreness, dullness, numbness, heaviness, and other feelings",not_reported
37383656,SATG,sham_acupuncture,De qi avoided,We would avoid De qi sensations in the manipulation in the SATG group,not_reported
37408438,TA,verum_acupuncture,"Deqi sensation (soreness, numbness, distention, or radiation)","Rotating or lifting–thrusting manipulation was performed for Deqi sensation (a sensation of soreness, numbness, distention, or radiation that indicated effective needling) after needle insertion",not_reported
37408438,SA,sham_acupuncture,Deqi sensation,"shallow acupuncture with a depth of 2 mm was performed at the five non-acupoints, without manual stimulation to yield the Deqi sensation",not_reported
37415858,arm_REAL,verum_acupuncture,MASS index score (overall),4.32 ± 2.43,Massachusetts General Hospital Acupuncture Sensation Scale (MASS) index
37415858,arm_PHNT,sham_acupuncture,MASS index score (overall),1.23 ± 1.18,Massachusetts General Hospital Acupuncture Sensation Scale (MASS) index
37415858,arm_PHNT,sham_acupuncture,perceived_realness,76% (19 of 25 participants reported needling credibility),structural interview
37721727,arm_IA,verum_acupuncture,"deqi (a complex and mixed feeling including numbness, distention, soreness, or dull pain at the needling acupoints)","deqi was elicited by lifting and thrusting; described as a complex and mixed feeling including numbness, distention, soreness, or dull pain at the needling acupoints",not_reported
37804240,arm_SA,verum_acupuncture,deqi sensation,1.93 ± 0.27,numerical rating scale (0 = no sensation to 10 = very strong sensation)
37804240,arm_SA,verum_acupuncture,deqi sensation,3.48 ± 0.33,numerical rating scale (0 = no sensation to 10 = very strong sensation)
37804240,arm_SA,verum_acupuncture,deqi sensation,6.01 ± 0.33,numerical rating scale (0 = no sensation to 10 = very strong sensation)
37804240,arm_VA,other,deqi sensation,1.39 ± 0.24,numerical rating scale (0 = no sensation to 10 = very strong sensation)
37804240,arm_VA,other,deqi sensation,2.11 ± 0.28,numerical rating scale (0 = no sensation to 10 = very strong sensation)
37804240,arm_VA,other,deqi sensation,3.75 ± 0.50,numerical rating scale (0 = no sensation to 10 = very strong sensation)
37804240,arm_SA,verum_acupuncture,overall deqi sensation,3.81 ± 0.36,Korean version of the Massachusetts General Hospital Acupuncture Sensation Scale (MASS)
38249582,not_applicable,,"Deqi sensation described as soreness, numbness, and heaviness","a soreness, numbness, and heaviness sensation",not_reported
38585348,EG,verum_acupuncture,"de qi needling sensation described as soreness, numbness, distention, heaviness, and other sensations","de qi needling sensation (a composite of sensations including soreness, numbness, distention, heaviness, and other sensations)",not_reported
39089662,AG,verum_acupuncture,"soreness, numbness, distension, or heaviness","Twirling, lifting, and thrusting manipulations were performed to achieve 'de qi' sensation (soreness, numbness, distension, or heaviness)",not_reported
39499594,not_applicable,,needling sensations ('deqi' phenomenon),"the subject had some needling sensations; subjects to experience sensations such as heaviness, numbness, and distension",not_reported
39499594,not_applicable,,heaviness,"sensations such as heaviness, numbness, and distension",not_reported
39499594,not_applicable,,numbness,"sensations such as heaviness, numbness, and distension",not_reported
39499594,not_applicable,,fullness,"sensations such as heaviness, numbness, and distension",not_reported
39543627,arm_RA,verum_acupuncture,"Deqi sensation (soreness, numbness, heaviness, distension experienced by patient; heaviness, astringency, tightness felt by acupuncturist)",not_reported,not_reported
39648209,arm_SSRIs_AIA,verum_acupuncture,pain,1 case (2.5%),not_reported
39654647,arm_verum_acu,verum_acupuncture,Deqi (general),Several studies have demonstrated that the Deqi group exhibits significant activation in relevant brain regions compared with the non-Deqi group,not_reported
40022556,arm_acupuncture,verum_acupuncture,"Deqi sensation characterized by feelings of pain, heaviness, numbness, swelling, or radiation",not_reported,not_reported
40584525,arm_true,verum_acupuncture,"soreness, numbness, distension, and heaviness","subject would experience the deqi sensations such as soreness, numbness, distension, and heaviness",not_reported
40634927,AG,verum_acupuncture,de qi sensation (achieved through manual stimulation),Acupuncturists manually stimulated the needles to achieve de qi,not_reported
40634927,SG,sham_acupuncture,de qi sensation (not required),Sham needles did not penetrate the skin and did not require the 'De Qi' sensation,not_reported
40642213,arm_ST36,verum_acupuncture,MASS_L (total MASS score for the left body),6.68 ± 5.88,MGH Acupuncture Sensation Scale (MASS)
40642213,arm_ST36,verum_acupuncture,MASS_R (total MASS score for the right body),7.53 ± 50.63,MGH Acupuncture Sensation Scale (MASS)
40642213,arm_KI4,verum_acupuncture,MASS_L (total MASS score for the left body),5.88 ± 4.69,MGH Acupuncture Sensation Scale (MASS)
40642213,arm_KI4,verum_acupuncture,MASS_R (total MASS score for the right body),6.44 ± 5.57,MGH Acupuncture Sensation Scale (MASS)
40642213,arm_HT7,verum_acupuncture,MASS_L (total MASS score for the left body),6.53 ± 5.34,MGH Acupuncture Sensation Scale (MASS)
40642213,arm_HT7,verum_acupuncture,MASS_R (total MASS score for the right body),7.82 ± 5.62,MGH Acupuncture Sensation Scale (MASS)
40642213,arm_ST36,verum_acupuncture,fullness,The sensation of fullness was significantly higher at bilateral ST36 as compared to KI4 and HT7,MGH Acupuncture Sensation Scale (MASS)
40642213,arm_HT7,verum_acupuncture,tingling,The sensation of tingling was higher at bilateral HT7 than at ST36,MGH Acupuncture Sensation Scale (MASS)
40642213,not_applicable,,composite deqi score excluding sharp pain,"A deqi response was defined as a total score of 3 or higher for any of the 12 sensations, excluding sharp pain",MGH Acupuncture Sensation Scale (MASS)
40660313,not_applicable,,needling sensation (de qi),"After the acupoints obtained qi, the needles were retained for 20 min",not_reported
40847552,arm_responders,verum_acupuncture,Deqi sensation (general),"The insertion depth and direction were determined based on the patient's treatment site, with the aim of achieving the Deqi sensation.",not_reported
40904730,not_applicable,,"de-qi sensation (a feeling of numbness, tingling, or heaviness)",de-qi sensation was more crucial for clear activation of brain regions than needling depth or needle diameter,not_reported
40963943,arm_TTH,other,"Composite Deqi (soreness, numbness, distension, heaviness, or other special sensations)",10 TTH patients had higher scores for composite Deqi sensation; 23 had higher acute pain scores; 3 had same scores,Composite Deqi sensation score (0–10 scale)
40963943,arm_TTH,other,sharp_pain,23 TTH patients reported higher levels of acute pain scores compared to composite Deqi sensation,Acute pain sensation score (0–10 scale)
40963943,arm_HC,healthy_control,"Composite Deqi (soreness, numbness, distension, heaviness, or other special sensations)",11 HCs exhibited higher scores for the composite Deqi sensation; 21 had higher acute pain scores; 4 had same scores,Composite Deqi sensation score (0–10 scale)
40963943,arm_HC,healthy_control,sharp_pain,21 HCs experienced higher levels of acute pain scores in comparison to the composite Deqi sensation,Acute pain sensation score (0–10 scale)
40995472,arm_female,verum_acupuncture,soreness,5.81 ± 1.47,Massachusetts Acupuncture Sensation Scale (MASS)
