arm_id,pmid,arm_type,Afferent_Input_Index,Cognitive_Anchoring,PC1,PC2,PC3,PC4,PC5,penetration_level,skin_contact,electrical_stim,manipulation_intensity,needle_retention_min,n_sessions,blinding_quality,practitioner_interaction,treatment_rationale_given
arm_pseudo,26211895,sham_acupuncture,-0.4371323050107444,0.6138524612841191,-0.3850537449125118,0.19487762759723068,1.153405519290962,-0.2794032604088395,-0.04891047286275576,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0
EA,27857211,verum_acupuncture,1.0318390140323415,0.6138524612841191,1.2584602359135102,4.077094628550524,0.004368119922583822,1.6053487175217402,-0.39941374229394666,2.0,1.0,1.0,0.0,30.0,36.0,1.0,1.0,1.0
Mox,27857211,verum_acupuncture,0.05405983132357335,0.6138524612841191,-0.19440991587859857,2.6491568267490617,0.6048181976292133,-0.8067243816215787,1.3315989579610505,0.0,1.0,0.0,0.0,,36.0,1.0,1.0,1.0
HC,27857211,healthy_control,,-0.8013902231305844,-0.8966674676720098,-0.41061735030961793,-0.7060894396898134,-0.3896134602585724,-1.0793062839791416,,,,,,,1.0,0.0,0.0
CD_all,27857211,other,,-0.8013902231305844,-0.8966674676720098,-0.41061735030961793,-0.7060894396898134,-0.3896134602585724,-1.0793062839791416,,,,,,,1.0,0.0,0.0
arm_MWoA,25916336,verum_acupuncture,0.4658149778700201,0.08350053538242556,1.1197341171175497,1.3253469349812905,-0.9928017908691747,0.01671833583927797,1.4259923062689996,2.0,1.0,0.0,1.0,30.0,20.0,0.0,1.0,1.0
arm_HC,25916336,healthy_control,-1.266230394872189,-1.331742149032278,-3.652884405783296,-0.3199332065156557,-0.9359924230734303,0.7093405737836369,0.4774388781241617,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
arm_left_gb34,28053642,verum_acupuncture,-0.20849625578644415,0.08350053538242556,0.7347712127133926,-1.8053610529185284,0.577392904496541,0.5355792107322928,0.6424483964506931,2.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0
arm_right_gb34,28053642,verum_acupuncture,-0.20849625578644415,0.08350053538242556,0.7347712127133926,-1.8053610529185284,0.577392904496541,0.5355792107322928,0.6424483964506931,2.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0
arm_MDD,27242492,verum_acupuncture,0.5079695068260907,0.08350053538242556,1.2329745013344757,0.2470212208085107,0.2617542100126078,2.7944004434623992,-0.7134003147285156,2.0,1.0,1.0,1.0,20.0,1.0,0.0,1.0,1.0
arm_HC,27242492,healthy_control,,-1.331742149032278,-0.8134094014191281,-0.944043697839588,-1.6344427709388314,0.3784610385135269,-0.33421110598292453,,,,,,,0.0,0.0,0.0
arm_included_studies,27242911,other,0.16577411805062597,-0.5891626420854096,0.22514418790199558,-0.9474472625274698,-1.3553949787910948,-0.1515549941712679,-0.48617501055176066,2.0,1.0,0.0,1.0,,,0.0,1.0,0.0
arm_ea,29204113,verum_acupuncture,1.2282795567004248,0.08350053538242556,1.9115497796012786,3.322353214836332,-0.9960131540140283,2.2136656612944914,0.5440042970886758,2.0,1.0,1.0,1.0,30.0,36.0,0.0,1.0,1.0
arm_moxa,29204113,verum_acupuncture,0.05405983132357335,0.08350053538242556,-0.11115184962571689,2.1157304792190916,-0.3235351336198047,-0.03864988284947922,2.0766941359572675,0.0,1.0,0.0,0.0,,36.0,0.0,1.0,1.0
arm_ACU,25821486,verum_acupuncture,0.21953557985364267,0.6138524612841191,1.2349100864840399,-0.29865773209914437,0.7082471240934337,-0.5587035235662265,0.17820686452091875,2.0,1.0,0.0,2.0,21.0,1.0,1.0,1.0,1.0
arm_SHAM,25821486,sham_acupuncture,-0.6435477889965121,-0.05881071618371599,-0.9243552191365636,-1.56037866836029,0.807585818113237,-0.6024266016594304,-1.358069971352791,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
arm_local,28334999,verum_acupuncture,0.9510809745371018,1.1442043871858125,1.9234742166131282,2.0905782651228564,1.701712408355704,0.8941925594166439,-1.4884865787379007,2.0,1.0,1.0,2.0,20.0,16.0,2.0,1.0,1.0
arm_distal,28334999,verum_acupuncture,0.9510809745371018,1.1442043871858125,1.9234742166131282,2.0905782651228564,1.701712408355704,0.8941925594166439,-1.4884865787379007,2.0,1.0,1.0,2.0,20.0,16.0,2.0,1.0,1.0
arm_sham,28334999,sham_acupuncture,-0.34061364874511135,1.1442043871858125,-0.6605804759308525,1.8518906203608614,1.9927988908346912,-1.3023971050573993,-0.10253786083069062,0.0,1.0,0.0,0.0,,16.0,2.0,1.0,1.0
arm_sham,28334999,healthy_control,-0.34061364874511135,1.1442043871858125,-0.6605804759308525,1.8518906203608614,1.9927988908346912,-1.3023971050573993,-0.10253786083069062,0.0,1.0,0.0,0.0,,16.0,2.0,1.0,1.0
arm_hc,28334999,healthy_control,,,0.664230767637363,-0.1520046683820242,0.8256170148413116,-0.3885428010339364,-0.025274170907989026,,,,,,,,,
arm_acupuncture,30914919,verum_acupuncture,0.20506112404289245,0.6138524612841191,1.2340622450722498,-0.3733197345662467,0.7535890721537168,-0.5483003560332845,0.17304869047841645,2.0,1.0,0.0,2.0,20.0,1.0,1.0,1.0,1.0
arm_placebo,30914919,sham_acupuncture,-0.40089010759492494,0.6138524612841191,-0.29467530259261326,0.09912979120804073,1.3371381383654235,-0.48977882978243864,0.3240989479552883,0.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0
arm_placebo,30914919,placebo,-0.40089010759492494,0.6138524612841191,-0.29467530259261326,0.09912979120804073,1.3371381383654235,-0.48977882978243864,0.3240989479552883,0.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0
arm_responder,30914919,other,,0.6391420645481948,0.664230767637363,-0.1520046683820242,0.8256170148413116,-0.3885428010339364,-0.025274170907989026,,,,,,,1.0,,
arm_nonresponder,30914919,other,,0.6391420645481948,0.664230767637363,-0.1520046683820242,0.8256170148413116,-0.3885428010339364,-0.025274170907989026,,,,,,,1.0,,
arm_KI3,26467429,verum_acupuncture,-0.37555282616223923,-0.05881071618371599,-1.3783730118978479,0.8050486354478102,-0.29691206193320174,-0.9651396420219412,-1.0286381906460826,0.0,1.0,0.0,0.0,30.0,1.0,1.0,1.0,0.0
arm_nonacupoint,26467429,sham_acupuncture,0.5160443936386283,-0.05881071618371599,1.1996490483168902,-0.014283186305731986,-1.208249632594559,-1.1328007088978842,-1.1560521461681876,3.0,1.0,0.0,2.0,30.0,1.0,1.0,1.0,0.0
arm_nonacupoint,26467429,active_control,0.5160443936386283,-0.05881071618371599,1.1996490483168902,-0.014283186305731986,-1.208249632594559,-1.1328007088978842,-1.1560521461681876,3.0,1.0,0.0,2.0,30.0,1.0,1.0,1.0,0.0
real,29343693,verum_acupuncture,0.4332979049644162,-0.5891626420854096,1.2744287004518708,-1.2943295585067247,-1.6831834832407455,-0.2606945347963648,-0.46253870859699386,3.0,1.0,0.0,2.0,,1.0,0.0,1.0,0.0
phnt,29343693,sham_acupuncture,-1.1475208103614158,-0.05881071618371599,-2.697588882715054,0.2100895763264326,0.27140870032332404,-0.5887499576732571,-0.4196202044408914,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0
arm_LR3,30719061,verum_acupuncture,0.3498056821503946,0.08350053538242556,1.325798725443033,-0.1601260574251941,-0.6281837396981326,0.11574246740939483,0.9697256088996568,2.0,1.0,0.0,2.0,30.0,1.0,0.0,1.0,1.0
arm_KI3,30719061,verum_acupuncture,0.3498056821503946,0.08350053538242556,1.325798725443033,-0.1601260574251941,-0.6281837396981326,0.11574246740939483,0.9697256088996568,2.0,1.0,0.0,2.0,30.0,1.0,0.0,1.0,1.0
arm_LR3KI3,30719061,verum_acupuncture,0.3498056821503946,0.08350053538242556,1.325798725443033,-0.1601260574251941,-0.6281837396981326,0.11574246740939483,0.9697256088996568,2.0,1.0,0.0,2.0,30.0,1.0,0.0,1.0,1.0
arm_CM,31011330,verum_acupuncture,0.9253711739172266,0.08350053538242556,1.9958955895919344,2.1685859119316047,-1.4325316231219376,-0.360960639429093,2.1755484802918246,2.0,1.0,0.0,2.0,30.0,36.0,0.0,1.0,1.0
arm_HC,31011330,healthy_control,-1.266230394872189,-1.331742149032278,-3.652884405783296,-0.3199332065156557,-0.9359924230734303,0.7093405737836369,0.4774388781241617,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
VA1,26839078,verum_acupuncture,0.6622555205381033,-0.5891626420854096,1.1672209485641876,0.8420156221815925,-2.317488395940158,-0.6741259110695008,0.41831915001541625,2.0,1.0,0.0,2.0,30.0,20.0,0.0,1.0,0.0
VA2,26839078,verum_acupuncture,0.6622555205381033,-0.5891626420854096,1.1672209485641876,0.8420156221815925,-2.317488395940158,-0.6741259110695008,0.41831915001541625,2.0,1.0,0.0,2.0,30.0,20.0,0.0,1.0,0.0
VA3,26839078,verum_acupuncture,0.6622555205381033,-0.5891626420854096,1.1672209485641876,0.8420156221815925,-2.317488395940158,-0.6741259110695008,0.41831915001541625,2.0,1.0,0.0,2.0,30.0,20.0,0.0,1.0,0.0
SA,26839078,sham_acupuncture,0.6622555205381033,-0.5891626420854096,1.1672209485641876,0.8420156221815925,-2.317488395940158,-0.6741259110695008,0.41831915001541625,2.0,1.0,0.0,2.0,30.0,20.0,0.0,1.0,0.0
WT,26839078,waitlist,-1.266230394872189,-1.331742149032278,-3.652884405783296,-0.3199332065156557,-0.9359924230734303,0.7093405737836369,0.4774388781241617,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
HC,26839078,healthy_control,-1.266230394872189,-1.331742149032278,-3.652884405783296,-0.3199332065156557,-0.9359924230734303,0.7093405737836369,0.4774388781241617,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
AG,26839078,verum_acupuncture,0.6622555205381033,-0.5891626420854096,1.1672209485641876,0.8420156221815925,-2.317488395940158,-0.6741259110695008,0.41831915001541625,2.0,1.0,0.0,2.0,30.0,20.0,0.0,1.0,0.0
healthy_subjects,25741269,healthy_control,0.31032285976903395,0.6138524612841191,1.2765927015111378,0.1330595331610818,0.480916595656655,-0.6275563712316224,0.2677437247704806,2.0,1.0,0.0,2.0,25.0,3.0,1.0,1.0,1.0
arm_ST36,27803655,verum_acupuncture,0.0024187426923893605,0.6138524612841191,1.2221924653071878,-1.418587769105678,1.388376344997681,-0.4026560105720966,0.10083425388338384,2.0,1.0,0.0,2.0,6.0,1.0,1.0,1.0,1.0
arm_CP1,27803655,sham_acupuncture,0.0024187426923893605,0.6138524612841191,1.2221924653071878,-1.418587769105678,1.388376344997681,-0.4026560105720966,0.10083425388338384,2.0,1.0,0.0,2.0,6.0,1.0,1.0,1.0,1.0
arm_CP2,27803655,sham_acupuncture,0.0024187426923893605,0.6138524612841191,1.2221924653071878,-1.418587769105678,1.388376344997681,-0.4026560105720966,0.10083425388338384,2.0,1.0,0.0,2.0,6.0,1.0,1.0,1.0,1.0
arm_LR3,27688791,verum_acupuncture,0.3498056821503946,-0.05881071618371599,0.7201960132019023,0.11128404348930047,-0.9524890708325031,-1.1834187232721352,-0.981365586736549,2.0,1.0,0.0,2.0,30.0,1.0,1.0,1.0,0.0
arm_sham,27688791,sham_acupuncture,0.3498056821503946,-0.05881071618371599,0.7201960132019023,0.11128404348930047,-0.9524890708325031,-1.1834187232721352,-0.981365586736549,2.0,1.0,0.0,2.0,30.0,1.0,1.0,1.0,0.0
arm_sham,27688791,healthy_control,0.3498056821503946,-0.05881071618371599,0.7201960132019023,0.11128404348930047,-0.9524890708325031,-1.1834187232721352,-0.981365586736549,2.0,1.0,0.0,2.0,30.0,1.0,1.0,1.0,0.0
arm_AD_real,30105065,verum_acupuncture,-0.041004624739861294,0.08350053538242556,1.302907007324699,-2.176000124036955,0.5960488579295127,0.3966279907988287,0.8304549097520938,2.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0
arm_AD_sham,30105065,sham_acupuncture,-0.041004624739861294,-0.5891626420854096,0.7805623613364501,-2.4380163706524307,-0.6566098044538756,-0.13445870111060204,-0.3755411078878949,2.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0
arm_MCI_real,30105065,verum_acupuncture,-0.041004624739861294,0.08350053538242556,1.302907007324699,-2.176000124036955,0.5960488579295127,0.3966279907988287,0.8304549097520938,2.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0
arm_MCI_sham,30105065,sham_acupuncture,-0.041004624739861294,-0.5891626420854096,0.7805623613364501,-2.4380163706524307,-0.6566098044538756,-0.13445870111060204,-0.3755411078878949,2.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0
arm_HC_real,30105065,healthy_control,-0.041004624739861294,-0.5891626420854096,0.7805623613364501,-2.4380163706524307,-0.6566098044538756,-0.13445870111060204,-0.3755411078878949,2.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0
arm_ALBP,26161117,other,0.23381145117853586,-0.1287270456627493,0.19550865575112597,-0.36991616987836484,0.4745412800059802,-0.018284323348489822,0.32501259504725255,2.0,1.0,0.0,2.0,,1.0,1.0,0.0,1.0
arm_all_fd,35464313,verum_acupuncture,0.6622555205381033,-0.5891626420854096,1.1672209485641876,0.8420156221815925,-2.317488395940158,-0.6741259110695008,0.41831915001541625,2.0,1.0,0.0,2.0,30.0,20.0,0.0,1.0,0.0
arm_higher_response,35464313,verum_acupuncture,0.4604349320527509,-0.5891626420854096,0.7949756653368825,-1.1687623287116924,-1.4274229214786895,-0.3113125491706159,-0.2878521491653553,2.0,1.0,0.0,2.0,,,0.0,1.0,0.0
arm_lower_response,35464313,verum_acupuncture,0.4604349320527509,-0.5891626420854096,0.7949756653368825,-1.1687623287116924,-1.4274229214786895,-0.3113125491706159,-0.2878521491653553,2.0,1.0,0.0,2.0,,,0.0,1.0,0.0
arm_CG,34431029,waitlist,-1.266230394872189,-0.1287270456627493,-3.2137978260479287,0.47550938762978995,1.2450195705589757,0.47235276692096845,0.9383397177679333,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
arm_TG,34431029,verum_acupuncture,0.23558878116328738,0.6138524612841191,0.7684373052051076,0.9272884947685411,0.2572906937493649,-0.5606749201974262,0.19856797971591553,2.0,1.0,0.0,1.0,30.0,6.0,1.0,1.0,1.0
arm_EA,33776442,verum_acupuncture,0.4355972277723395,0.08350053538242556,1.228735294275525,-0.12628879152700065,0.4884639503140236,2.846416281127109,-0.7391911849410272,2.0,1.0,1.0,1.0,15.0,1.0,0.0,1.0,1.0
arm_acupuncture,32194493,verum_acupuncture,0.33425715118045857,0.6138524612841191,0.8833110533449192,1.3264962609439925,0.11940248516242699,-0.6423954527983098,0.40528047195457295,2.0,1.0,0.0,1.0,30.0,12.0,1.0,1.0,1.0
arm_sham,32194493,sham_acupuncture,,-0.2560593874895923,0.14188612164911396,-0.41402091499749977,-0.4270416475420769,-0.9196294929433672,-1.2312701885479778,,,,,,,1.0,,0.0
arm_sham,32194493,healthy_control,,-0.2560593874895923,0.14188612164911396,-0.41402091499749977,-0.4270416475420769,-0.9196294929433672,-1.2312701885479778,,,,,,,1.0,,0.0
arm_IBSD,34720908,verum_acupuncture,0.7956047753539467,0.08350053538242556,2.1307273802874875,0.8453953836102186,-1.2746275591231795,-0.06518102725219109,1.380724444144214,3.0,1.0,0.0,2.0,30.0,18.0,0.0,1.0,1.0
arm_HC,34720908,healthy_control,-1.266230394872189,-1.331742149032278,-3.652884405783296,-0.3199332065156557,-0.9359924230734303,0.7093405737836369,0.4774388781241617,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
arm_CLBP,34949986,verum_acupuncture,,-0.2560593874895923,0.14188612164911396,-0.41402091499749977,-0.4270416475420769,-0.9196294929433672,-1.2312701885479778,,,,,,,1.0,,0.0
arm_CLBP,34949986,other,,-0.2560593874895923,0.14188612164911396,-0.41402091499749977,-0.4270416475420769,-0.9196294929433672,-1.2312701885479778,,,,,,,1.0,,0.0
arm_HC,34949986,healthy_control,,-0.2560593874895923,0.14188612164911396,-0.41402091499749977,-0.4270416475420769,-0.9196294929433672,-1.2312701885479778,,,,,,,1.0,,0.0
arm_MwoA,34122321,verum_acupuncture,0.6888615185242378,0.08350053538242556,1.4435763729241307,0.9789021254635046,0.00895916093655472,2.644579467027446,-0.33442741229097694,2.0,1.0,1.0,1.0,20.0,12.0,0.0,1.0,1.0
arm_HC,34122321,healthy_control,-1.266230394872189,-1.331742149032278,-3.652884405783296,-0.3199332065156557,-0.9359924230734303,0.7093405737836369,0.4774388781241617,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
arm_NC,33384580,healthy_control,-1.266230394872189,-1.331742149032278,-3.652884405783296,-0.3199332065156557,-0.9359924230734303,0.7093405737836369,0.4774388781241617,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
arm_IBSbs,33384580,verum_acupuncture,-1.266230394872189,-1.331742149032278,-3.652884405783296,-0.3199332065156557,-0.9359924230734303,0.7093405737836369,0.4774388781241617,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
arm_IBS1st,33384580,verum_acupuncture,0.6293660638657129,0.08350053538242556,1.6512743451724994,0.9709626134052509,-1.0188669973611235,-0.11579904162644215,1.5554110035758524,2.0,1.0,0.0,2.0,30.0,18.0,0.0,1.0,1.0
arm_groupA,35557556,verum_acupuncture,0.4978082371761514,0.08350053538242556,1.4981093476527505,0.4386855918379827,-0.8350160525785396,-0.006838331491930679,1.2797943472576427,2.0,1.0,0.0,2.0,30.0,10.0,0.0,1.0,1.0
arm_groupB,35557556,active_control,0.4978082371761514,0.08350053538242556,1.4981093476527505,0.4386855918379827,-0.8350160525785396,-0.006838331491930679,1.2797943472576427,2.0,1.0,0.0,2.0,30.0,10.0,0.0,1.0,1.0
arm_HS,35557556,healthy_control,-1.266230394872189,-1.331742149032278,-3.652884405783296,-0.3199332065156557,-0.9359924230734303,0.7093405737836369,0.4774388781241617,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
arm_CSAP_all,35557556,other,-1.266230394872189,-1.331742149032278,-3.652884405783296,-0.3199332065156557,-0.9359924230734303,0.7093405737836369,0.4774388781241617,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
arm_CON,33664320,healthy_control,-1.1475208103614158,-0.1287270456627493,-3.2137978260479287,0.47550938762978995,1.2450195705589757,0.47235276692096845,0.9383397177679333,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,1.0
arm_CON_U,33664320,other,-0.6276028304162,-0.8013902231305844,-2.425405015336873,0.06183217546466947,-0.12254037347810681,-0.3310919340077266,-0.9282560265022697,0.0,1.0,0.0,0.0,,,1.0,0.0,0.0
arm_ACU,33664320,verum_acupuncture,-0.10592214555284346,0.6138524612841191,0.7461307958393603,-0.9943725294422369,1.4627691145186044,-0.4948866950781157,0.2961535094850318,1.0,1.0,0.0,2.0,10.0,1.0,1.0,1.0,1.0
arm_ACU_U,33664320,verum_acupuncture,-0.10592214555284346,0.6138524612841191,0.7461307958393603,-0.9943725294422369,1.4627691145186044,-0.4948866950781157,0.2961535094850318,1.0,1.0,0.0,2.0,10.0,1.0,1.0,1.0,1.0
arm_ACU_C,33664320,verum_acupuncture,0.21107686482040033,-0.05881071618371599,0.23226456396901257,-0.5097687513866896,-0.24330902846761548,-1.1300050623169664,-0.8582607677299336,1.0,1.0,0.0,2.0,,,1.0,1.0,0.0
arm_ACU_D,33664320,verum_acupuncture,0.21107686482040033,-0.05881071618371599,0.23226456396901257,-0.5097687513866896,-0.24330902846761548,-1.1300050623169664,-0.8582607677299336,1.0,1.0,0.0,2.0,,,1.0,1.0,0.0
arm_NACU,33664320,sham_acupuncture,-0.2014036538090445,0.6138524612841191,0.1847777325223749,-0.026437438586991716,1.0813775766033673,-0.4391608154081876,0.14941238852364966,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0
arm_effective,33560579,verum_acupuncture,0.14913357332533655,0.6138524612841191,1.2489686627032677,-0.6800951192058493,0.9573174443573097,-0.5099046071353885,0.18170990230568104,2.0,1.0,0.0,2.0,15.0,2.0,1.0,1.0,1.0
arm_sham,33560579,sham_acupuncture,-0.01710513816289715,0.6138524612841191,0.7695156275882795,-0.554527889410817,1.2130780061193656,-0.5605226215096396,0.35639646173731965,1.0,1.0,0.0,2.0,15.0,2.0,1.0,1.0,1.0
arm_sham,33560579,healthy_control,-0.01710513816289715,0.6138524612841191,0.7695156275882795,-0.554527889410817,1.2130780061193656,-0.5605226215096396,0.35639646173731965,1.0,1.0,0.0,2.0,15.0,2.0,1.0,1.0,1.0
arm_real,33013312,verum_acupuncture,0.6787002488742986,0.6138524612841191,1.6254531529895233,1.7039928440229468,-0.15945777040557482,-0.9247338066989833,0.9136720716989644,2.0,1.0,0.0,2.0,30.0,21.0,1.0,1.0,1.0
arm_sham,33013312,sham_acupuncture,0.11958045204989835,0.6138524612841191,0.00633716300476189,2.272190206186424,0.24035867673167063,-0.6558367110745383,0.6917129083577922,1.0,1.0,0.0,0.0,30.0,21.0,1.0,1.0,1.0
arm_sham,33013312,healthy_control,0.11958045204989835,0.6138524612841191,0.00633716300476189,2.272190206186424,0.24035867673167063,-0.6558367110745383,0.6917129083577922,1.0,1.0,0.0,0.0,30.0,21.0,1.0,1.0,1.0
arm_contra,32377180,verum_acupuncture,0.20506112404289245,0.6138524612841191,1.2340622450722498,-0.3733197345662467,0.7535890721537168,-0.5483003560332845,0.17304869047841645,2.0,1.0,0.0,2.0,20.0,1.0,1.0,1.0,1.0
arm_ipsi,32377180,verum_acupuncture,0.20506112404289245,-0.05881071618371599,0.7117175990840008,-0.6353359811817222,-0.49906959022967157,-1.0793870479427152,-1.0329473271615723,2.0,1.0,0.0,2.0,20.0,1.0,1.0,1.0,0.0
arm_MWoA,35312785,verum_acupuncture,0.6164892394704867,0.08350053538242556,1.43933716586518,0.6055921131279933,0.2356689012379706,2.696595304692156,-0.36021828250348853,2.0,1.0,1.0,1.0,15.0,12.0,0.0,1.0,1.0
arm_MWA,35312785,verum_acupuncture,0.6164892394704867,0.08350053538242556,1.43933716586518,0.6055921131279933,0.2356689012379706,2.696595304692156,-0.36021828250348853,2.0,1.0,1.0,1.0,15.0,12.0,0.0,1.0,1.0
arm_CM,35312785,verum_acupuncture,0.6164892394704867,0.08350053538242556,1.43933716586518,0.6055921131279933,0.2356689012379706,2.696595304692156,-0.36021828250348853,2.0,1.0,1.0,1.0,15.0,12.0,0.0,1.0,1.0
arm_HC,35312785,healthy_control,-1.266230394872189,-1.331742149032278,-3.652884405783296,-0.3199332065156557,-0.9359924230734303,0.7093405737836369,0.4774388781241617,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
arm_FPI,33146953,verum_acupuncture,1.243828087670361,0.08350053538242556,2.2707793854465104,2.3691572439971154,-0.8152460476255702,2.203729082730097,0.3633542560375427,2.0,1.0,1.0,2.0,30.0,25.0,0.0,1.0,1.0
arm_MPI,33146953,verum_acupuncture,1.243828087670361,0.08350053538242556,2.2707793854465104,2.3691572439971154,-0.8152460476255702,2.203729082730097,0.3633542560375427,2.0,1.0,1.0,2.0,30.0,25.0,0.0,1.0,1.0
arm_EA,33314799,verum_acupuncture,0.6954548842332081,0.6138524612841191,1.287975014970325,1.6194999745453522,0.8025282242754489,1.8789694856578925,-1.1915400482337875,2.0,1.0,1.0,1.0,25.0,8.0,1.0,1.0,1.0
arm_ML,33314799,sham_acupuncture,-0.7585637164999498,0.6138524612841191,-2.0369856568380738,1.3111582291487793,1.1364880457205355,-0.20501972479623393,1.0533312576900424,0.0,0.0,0.0,0.0,25.0,8.0,1.0,1.0,1.0
arm_A,35585920,verum_acupuncture,0.37302260604208637,0.6138524612841191,1.0279976367467667,1.1121532578402382,0.38897102098267444,-0.6473244876034013,0.6293153878477594,2.0,1.0,0.0,1.0,,20.0,1.0,1.0,1.0
arm_B,35585920,verum_acupuncture,0.37302260604208637,0.6138524612841191,1.0279976367467667,1.1121532578402382,0.38897102098267444,-0.6473244876034013,0.6293153878477594,2.0,1.0,0.0,1.0,,20.0,1.0,1.0,1.0
arm_B,35585920,sham_acupuncture,0.37302260604208637,0.6138524612841191,1.0279976367467667,1.1121532578402382,0.38897102098267444,-0.6473244876034013,0.6293153878477594,2.0,1.0,0.0,1.0,,20.0,1.0,1.0,1.0
arm_B,35585920,usual_care,0.37302260604208637,0.6138524612841191,1.0279976367467667,1.1121532578402382,0.38897102098267444,-0.6473244876034013,0.6293153878477594,2.0,1.0,0.0,1.0,,20.0,1.0,1.0,1.0
arm_verum_ea,35096130,verum_acupuncture,0.5079695068260907,0.08350053538242556,1.2329745013344757,0.2470212208085107,0.2617542100126078,2.7944004434623992,-0.7134003147285156,2.0,1.0,1.0,1.0,20.0,1.0,0.0,1.0,1.0
arm_sham,32612281,sham_acupuncture,-0.288279759436727,-0.6590789715644428,-1.2637667692208794,-0.06900664446122343,-0.14592107649708438,0.9642069159807987,0.9859569378614023,1.0,1.0,0.0,0.0,20.0,5.0,0.0,0.0,1.0
arm_sham,32612281,healthy_control,-0.288279759436727,-0.6590789715644428,-1.2637667692208794,-0.06900664446122343,-0.14592107649708438,0.9642069159807987,0.9859569378614023,1.0,1.0,0.0,0.0,20.0,5.0,0.0,0.0,1.0
arm_st36,32612281,verum_acupuncture,0.5737484201708715,-0.6590789715644428,0.2710034107732263,0.5165632962800266,-0.10921905452642075,3.269936121079938,-0.42362808200057456,2.0,1.0,1.0,1.0,20.0,5.0,0.0,0.0,1.0
arm_pc6,32612281,verum_acupuncture,0.5737484201708715,-0.6590789715644428,0.2710034107732263,0.5165632962800266,-0.10921905452642075,3.269936121079938,-0.42362808200057456,2.0,1.0,1.0,1.0,20.0,5.0,0.0,0.0,1.0
S_Acu,32807158,verum_acupuncture,1.0473875450022776,0.6138524612841191,1.617689841758742,3.1238986577113077,0.18513522631104226,1.5954121389573455,-0.5800637833450798,2.0,1.0,1.0,1.0,30.0,25.0,1.0,1.0,1.0
M_Acu,32807158,verum_acupuncture,1.0473875450022776,0.6138524612841191,1.617689841758742,3.1238986577113077,0.18513522631104226,1.5954121389573455,-0.5800637833450798,2.0,1.0,1.0,1.0,30.0,25.0,1.0,1.0,1.0
N_Acu,32807158,sham_acupuncture,1.0473875450022776,0.6138524612841191,1.617689841758742,3.1238986577113077,0.18513522631104226,1.5954121389573455,-0.5800637833450798,2.0,1.0,1.0,1.0,30.0,25.0,1.0,1.0,1.0
TA,34671239,verum_acupuncture,0.7773686188914697,0.6138524612841191,1.740326901129335,2.1032006101983978,-0.2973459789925128,-1.006454339299867,1.1203845639376215,2.0,1.0,0.0,2.0,30.0,27.0,1.0,1.0,1.0
SA,34671239,sham_acupuncture,0.38448753355530324,0.6138524612841191,0.6006639462595618,2.5458307425668427,-0.15329009361732335,-0.6869392293011709,0.7237388411648109,2.0,1.0,0.0,0.0,30.0,27.0,1.0,1.0,1.0
G1,35310583,verum_acupuncture,0.3615728593166737,0.08350053538242556,0.663143023899589,0.4683362869927331,0.3337821527002024,2.9541579984617474,-0.911723176114921,2.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0
G2,35310583,verum_acupuncture,0.3615728593166737,0.08350053538242556,0.663143023899589,0.4683362869927331,0.3337821527002024,2.9541579984617474,-0.911723176114921,2.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0
G3,35310583,verum_acupuncture,0.3615728593166737,0.08350053538242556,0.663143023899589,0.4683362869927331,0.3337821527002024,2.9541579984617474,-0.911723176114921,2.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0
arm_acupuncture,34483822,verum_acupuncture,0.08926547755689067,0.08350053538242556,1.3105375800308103,-1.5040421018330348,0.18797132538696418,0.30299948300235074,0.8768784761346148,2.0,1.0,0.0,2.0,12.0,1.0,0.0,1.0,1.0
