arm_id,penetration_level,skin_contact,electrical_stim,electrical_frequency_hz,n_needles,n_sessions,needle_retention_min,manipulation_intensity,deqi_intended,acupoint_disease_relevant,blinding_present,blinding_quality,credibility_score,expectancy_score,prior_experience_naive,practitioner_interaction,treatment_rationale_given,sham_penetration_level,sham_skin_contact,sham_at_acupoints,sham_visual_cue,pmid
arm_PHNT,0.0,0.0,0.0,,,1.0,,0.0,0.0,,1.0,1.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,31636536
arm_cnsp,3.0,1.0,0.0,,,20.0,30.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,0.0,,,,,35048524
arm_hc,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,,,,0.0,0.0,,,,,35048524
arm_group1,3.0,1.0,1.0,2.0,,8.0,20.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,38245739
arm_group2,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,38245739
arm_VA,2.0,1.0,0.0,,,10.0,30.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,0.0,,,,,36890655
arm_SA,2.0,1.0,0.0,,,10.0,30.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,0.0,2.0,1.0,0.0,1.0,36890655
arm_SC,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,2.0,,,,0.0,1.0,,,,,36890655
arm_PB,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,36890655
arm_WL,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,36890655
arm_HC,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,36890655
arm_AG,2.0,1.0,0.0,,,10.0,30.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,0.0,,,,,36890655
arm_ERR,2.0,1.0,0.0,,,1.0,,2.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,37206312
arm_LTRei,2.0,1.0,0.0,,,1.0,,2.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,37206312
arm_LTRed,2.0,1.0,0.0,,,1.0,,2.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,37206312
arm_exp,0.0,1.0,1.0,,,1.0,5.0,0.0,0.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,36102803
arm_ctrl,0.0,0.0,0.0,,,1.0,,0.0,0.0,,1.0,2.0,,,,0.0,0.0,,,,,36102803
arm_01,3.0,1.0,0.0,,,1.0,,2.0,,,0.0,0.0,,,,1.0,1.0,,,,,35959405
acu,2.0,1.0,0.0,,,60.0,40.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,36922926
con,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,,,,1.0,1.0,,,,,36922926
arm_FD_acupuncture,2.0,1.0,0.0,,,20.0,,1.0,,1.0,0.0,0.0,,,,1.0,0.0,,,,,35965072
arm_responders,2.0,1.0,0.0,,,,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,35965072
arm_non_responders,2.0,1.0,0.0,,,,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,35965072
VA,2.0,1.0,0.0,,,,30.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,36051643
SA,1.0,1.0,0.0,,,,30.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,36051643
arm_patient,3.0,1.0,0.0,,,1.0,8.0,1.0,,1.0,0.0,0.0,,,,1.0,1.0,,,,,35734477
arm_control,3.0,1.0,0.0,,,1.0,8.0,1.0,,,0.0,0.0,,,,1.0,0.0,,,,,35734477
arm_C1,3.0,1.0,,,,,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,35734477
arm_C2,3.0,1.0,,,,,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,35734477
arm_C3,3.0,1.0,,,,,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,35734477
arm_Nih1,3.0,1.0,,,,,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,35734477
arm_Nih2,3.0,1.0,,,,,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,35734477
arm_Nih3,3.0,1.0,,,,,,,,1.0,0.0,0.0,,,,1.0,0.0,,,,,35734477
arm_AD_real,2.0,1.0,0.0,,,8.0,,1.0,,1.0,1.0,2.0,,,,1.0,0.0,,,,,38651018
arm_AD_sham,,,0.0,,,8.0,,0.0,0.0,,1.0,2.0,,,,1.0,0.0,,,,,38651018
arm_AD_baseline,,,,,,,,,,,1.0,2.0,,,,,,,,,,38651018
arm_HC,,,,,,,,,,,1.0,2.0,,,,,,,,,,38651018
arm_AD_high_responder,2.0,1.0,0.0,,,,,1.0,,1.0,1.0,2.0,,,,1.0,0.0,,,,,38651018
arm_AD_low_responder,2.0,1.0,0.0,,,,,1.0,,1.0,1.0,2.0,,,,1.0,0.0,,,,,38651018
TA,2.0,1.0,0.0,,,12.0,30.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,37408438
SA,1.0,1.0,0.0,,,12.0,30.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,37408438
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,37721727
arm_IA,2.0,1.0,0.0,,,20.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,37721727
arm_ea,2.0,1.0,1.0,10.0,,12.0,30.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,38027487
arm_ctrl,0.0,0.0,0.0,,,12.0,,0.0,0.0,,1.0,1.0,,,,1.0,1.0,,,,,38027487
arm_tinnitus,2.0,1.0,0.0,,,10.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,2.0,1.0,,,,,36530635
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,36530635
arm_patients,2.0,1.0,0.0,,,12.0,20.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,36744205
arm_hc,,,,,,,,,,,0.0,0.0,,,,,,,,,,36744205
arm_WT,0.0,0.0,0.0,,,20.0,,0.0,0.0,,1.0,1.0,,,,0.0,0.0,,,,,35968386
arm_3xTgAD,0.0,0.0,0.0,,,20.0,,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,,,,,35968386
arm_EA,1.0,1.0,1.0,1.0,,20.0,30.0,1.0,0.0,1.0,1.0,1.0,,,,0.0,1.0,,,,,35968386
arm_NonEA,1.0,1.0,1.0,,,20.0,30.0,1.0,0.0,0.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,0.0,1.0,35968386
arm_SA,1.0,1.0,0.0,,,,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,37305743
arm_PC,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,,,,,37305743
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,37305743
arm_MCID,2.0,1.0,0.0,,,1.0,8.0,1.0,,1.0,0.0,0.0,,,,1.0,0.0,,,,,37274194
arm_NMCID,2.0,1.0,0.0,,,1.0,8.0,1.0,,1.0,0.0,0.0,,,,1.0,0.0,,,,,37274194
arm_HC,2.0,1.0,0.0,,,1.0,8.0,1.0,,,0.0,0.0,,,,1.0,0.0,,,,,37274194
EAS,2.0,1.0,1.0,1.0,,18.0,30.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,38681626
SAS,1.0,1.0,0.0,,,18.0,30.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,38681626
arm_PSA,3.0,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,36530615
arm_HC,3.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,36530615
EG,3.0,1.0,1.0,,,10.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,2.0,1.0,,,,,38585348
CG,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,38585348
arm_HT5,2.0,1.0,1.0,10.0,,,30.0,1.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,38034817
arm_GB20,2.0,1.0,1.0,10.0,,,30.0,1.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,38034817
arm_HT5_GB20,2.0,1.0,1.0,10.0,,,30.0,1.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,38034817
arm_1min,2.0,1.0,0.0,,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,38249582
arm_2min,2.0,1.0,0.0,,3.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,38249582
arm_3min,2.0,1.0,0.0,,3.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,38249582
arm_training_test,2.0,1.0,0.0,,,20.0,,1.0,,1.0,0.0,0.0,,,,1.0,1.0,,,,,37584456
arm_validation,2.0,1.0,0.0,,,20.0,,1.0,,1.0,0.0,0.0,,,,1.0,1.0,,,,,37584456
arm_REAL,2.0,1.0,0.0,,,1.0,7.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,37415858
arm_PHNT,0.0,0.0,0.0,,,1.0,,0.0,0.0,,1.0,1.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,37415858
TATG,3.0,1.0,0.0,,,10.0,30.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,37383656
SATG,1.0,1.0,0.0,,,10.0,30.0,0.0,0.0,0.0,1.0,2.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,37383656
arm_set1,0.0,1.0,0.0,,,1.0,,0.0,0.0,,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,37901421
arm_set2,0.0,1.0,0.0,,,1.0,,0.0,0.0,,0.0,0.0,,,,1.0,1.0,,,,,37901421
arm_set3,0.0,1.0,0.0,,,1.0,,0.0,0.0,,0.0,0.0,,,,1.0,1.0,,,,,37901421
arm_neiguan,1.0,1.0,0.0,,,1.0,15.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,35832324
arm_nonacupoint,1.0,1.0,0.0,,,1.0,15.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,35832324
arm_SA,2.0,1.0,0.0,,,1.0,,1.0,1.0,,0.0,0.0,,,,1.0,0.0,,,,,37804240
arm_VA,0.0,0.0,0.0,,,1.0,,0.0,1.0,,0.0,0.0,,,,0.0,0.0,,,,,37804240
arm_HT7,1.0,1.0,0.0,,,,6.0,2.0,1.0,,0.0,0.0,,,,1.0,0.0,,,,,40642213
arm_ST36,2.0,1.0,0.0,,,,6.0,2.0,1.0,,0.0,0.0,,,,1.0,0.0,,,,,40642213
arm_KI4,1.0,1.0,0.0,,,,6.0,2.0,1.0,,0.0,0.0,,,,1.0,0.0,,,,,40642213
arm_EA,2.0,1.0,1.0,,,8.0,25.0,2.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,41520025
arm_ML,0.0,0.0,0.0,,,8.0,,0.0,0.0,1.0,1.0,1.0,,,,1.0,1.0,0.0,0.0,1.0,0.0,41520025
arm_real,2.0,1.0,0.0,,,,20.0,1.0,0.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,39368604
arm_sham,0.0,1.0,0.0,,,,20.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,0.0,0.0,1.0,1.0,0.0,39368604
arm_verum_acupuncture,2.0,1.0,1.0,,,,,0.0,,1.0,0.0,0.0,,,,1.0,1.0,,,,,40800108
arm_pharmacotherapy,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,,,,,40800108
arm_VCI_patients,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,40800108
arm_healthy_controls,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,40800108
arm_MCI_patients,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,40800108
arm_acupuncture,2.0,1.0,0.0,,,20.0,30.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,41310834
arm_waitlist,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,41310834
arm_RA,2.0,1.0,0.0,,,20.0,30.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,39543627
arm_SA,1.0,1.0,0.0,,,20.0,30.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,39543627
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,,,,0.0,0.0,,,,,39543627
arm_acupuncture,2.0,1.0,0.0,,,10.0,20.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,40660313
arm_tDCS,0.0,1.0,1.0,,,10.0,,0.0,0.0,,1.0,1.0,,,,1.0,1.0,,,,,40660313
arm_combined,2.0,1.0,1.0,,,10.0,20.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,40660313
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,40584525
arm_true,1.0,1.0,0.0,,12.0,48.0,40.0,2.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,40584525
arm_sham,1.0,1.0,0.0,,,48.0,40.0,2.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,40584525
arm_acupuncture,3.0,1.0,1.0,1.0,,15.0,30.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,39468590
arm_control,1.0,1.0,0.0,,,15.0,30.0,0.0,,1.0,1.0,1.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,39468590
arm_01,2.0,1.0,0.0,,,1.0,20.0,1.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,41022570
AG,3.0,1.0,0.0,,,10.0,30.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,39089662
SG,1.0,1.0,0.0,,,10.0,30.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,39089662
AG,2.0,1.0,0.0,,,12.0,30.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,0.0,,,,,40634927
SG,0.0,1.0,0.0,,,12.0,30.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,40634927
WG,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,40634927
arm_female,2.0,1.0,0.0,,,1.0,6.33,2.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,40995472
arm_male,2.0,1.0,0.0,,,1.0,6.33,2.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,40995472
arm_BP,2.0,1.0,0.0,,,,30.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,41069516
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,,,,0.0,0.0,,,,,41069516
arm_conv,2.0,1.0,0.0,,,,,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,40950284
arm_yyhat,2.0,1.0,0.0,,,,,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,40950284
arm_ST36,2.0,1.0,0.0,,,,,1.0,0.0,,0.0,0.0,,,,1.0,1.0,,,,,41601526
arm_GB34,2.0,1.0,0.0,,,,,1.0,0.0,,0.0,0.0,,,,1.0,1.0,,,,,41601526
arm_SLIM,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,41601526
arm_FCP,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,41601526
arm_AD,2.0,1.0,0.0,,,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,39877657
arm_NC,2.0,1.0,0.0,,,1.0,3.0,1.0,0.0,,0.0,0.0,,,,1.0,1.0,,,,,39877657
arm_healthy100,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,39877657
AG,2.0,1.0,1.0,,,24.0,20.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,0.0,,,,,41351443
SG,0.0,1.0,0.0,,,24.0,20.0,0.0,0.0,0.0,1.0,2.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,41351443
arm_IDSA,1.0,1.0,0.0,,,,,2.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,40881782
arm_sham,0.0,1.0,0.0,,,,,2.0,0.0,1.0,1.0,1.0,,,,2.0,1.0,0.0,1.0,1.0,1.0,40881782
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,40881782
arm_real_acu,2.0,1.0,0.0,,,12.0,30.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,41591775
arm_sham_acu,1.0,1.0,0.0,,,12.0,30.0,1.0,0.0,0.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,41591775
arm_acupuncture,2.0,1.0,0.0,,,20.0,30.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,40772121
arm_placebo,1.0,1.0,0.0,,,20.0,30.0,0.0,0.0,0.0,1.0,2.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,40772121
arm_waiting,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,1.0,2.0,,,,0.0,0.0,,,,,40772121
arm_healthy,,,,,,,,,,,1.0,2.0,,,,,,,,,,40772121
arm_responders,2.0,1.0,0.0,,,6.0,30.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,40847552
arm_nonresponders,2.0,1.0,0.0,,,6.0,30.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,40847552
arm_CID_crosssec,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,,,,0.0,0.0,,,,,40022556
arm_HC_crosssec,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,,,,0.0,0.0,,,,,40022556
arm_acupuncture,2.0,1.0,0.0,,,20.0,30.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,40022556
arm_waitlist,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,1.0,,,,0.0,1.0,,,,,40022556
arm_SSRIs,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,2.0,,,,1.0,1.0,,,,,39648209
arm_SSRIs_SIA,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,2.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,39648209
arm_SSRIs_AIA,1.0,1.0,0.0,,,10.0,,1.0,0.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,39648209
arm_HC,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,2.0,,,,0.0,0.0,,,,,39648209
arm_MDD_MRI,1.0,1.0,0.0,,,1.0,,2.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,39648209
BC_HF,2.0,1.0,0.0,,,10.0,,1.0,,1.0,1.0,1.0,,,,2.0,1.0,,,,,40974865
BC_NF,,,,,,,,,,,1.0,1.0,,,,,0.0,,,,,40974865
NC,,,,,,,,,,,1.0,1.0,,,,,0.0,,,,,40974865
arm_verum_acu,2.0,1.0,0.0,,,,,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,,,,,39654647
arm_sham_acu,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,39654647
arm_other_therapy,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,,,,,39654647
arm_healthy_control,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,39654647
arm_TTH,2.0,1.0,0.0,,4.0,1.0,6.0,1.0,,1.0,0.0,0.0,,,,1.0,0.0,,,,,40963943
arm_HC,2.0,1.0,0.0,,4.0,1.0,6.0,1.0,,,0.0,0.0,,,,1.0,0.0,,,,,40963943
arm_TTH_pain,2.0,1.0,0.0,,4.0,1.0,6.0,1.0,,1.0,0.0,0.0,,,,1.0,0.0,,,,,40963943
arm_TTH_deqi,2.0,1.0,0.0,,4.0,1.0,6.0,1.0,,1.0,0.0,0.0,,,,1.0,0.0,,,,,40963943
arm_HC_pain,2.0,1.0,0.0,,4.0,1.0,6.0,1.0,,,0.0,0.0,,,,1.0,0.0,,,,,40963943
arm_HC_deqi,2.0,1.0,0.0,,4.0,1.0,6.0,1.0,,,0.0,0.0,,,,1.0,0.0,,,,,40963943
arm_BP_acupuncture,2.0,1.0,0.0,,,16.0,,2.0,1.0,1.0,0.0,0.0,,,,2.0,0.0,,,,,41602988
arm_rest,0.0,0.0,0.0,,,1.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,39499594
arm_LT,2.0,1.0,0.0,,,1.0,1.0,2.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,39499594
arm_TR,2.0,1.0,0.0,,,1.0,1.0,2.0,1.0,,0.0,0.0,,,,1.0,1.0,,,,,39499594
VA,2.0,1.0,0.0,,,4.0,30.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,42131703
SA,1.0,1.0,0.0,,,4.0,30.0,0.0,0.0,0.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,0.0,1.0,42131703
arm_mdd,1.0,1.0,0.0,,,1.0,,1.0,0.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,42077350
arm_hc,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,42077350
arm_control,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,,,,0.0,1.0,,,,,41657421
arm_study,2.0,1.0,1.0,2.0,,28.0,,1.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,41657421
arm_sham,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,,,,0.0,0.0,,,,,41641330
arm_model,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,,,,0.0,0.0,,,,,41641330
arm_ea,2.0,1.0,1.0,2.0,,5.0,30.0,0.0,0.0,1.0,1.0,1.0,,,,0.0,1.0,,,,,41641330
VA,3.0,1.0,0.0,,,10.0,,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,41999225
SA,3.0,1.0,0.0,,,10.0,,2.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,3.0,1.0,0.0,1.0,41999225
SC,0.0,0.0,0.0,,,14.0,,0.0,0.0,,1.0,2.0,,,,0.0,1.0,,,,,41999225
PB,0.0,0.0,0.0,,,14.0,,0.0,0.0,,1.0,2.0,,,,0.0,1.0,0.0,0.0,,0.0,41999225
WL,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,41999225
AG,3.0,1.0,0.0,,,10.0,,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,41999225
arm_tx,1.0,1.0,1.0,2.0,,18.0,30.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,,41834818
arm_hc,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,41834818
