pmid,arm_id,arm_label,arm_type,n_assigned,n_analyzed_neuroimaging,disease_condition,acupuncture_modality,stimulation_type,acupoints_used,anatomical_location,laterality,penetration,depth,depth_mm,manipulation,needle_type,needle_size,electrical_stim,electrical_frequency,electrical_intensity,needle_retention,needle_retention_min,session_duration,session_duration_min,n_sessions,n_sessions_numeric,treatment_period,deqi_intended,participant_instructions,treatment_rationale,practitioner_description,blinding,study_design
24603951,arm_AD,AD patients,other,14,14.0,Alzheimer disease (AD),manual_acupuncture,manual acupuncture,"['Tai chong (Liv3, left and right feet)', 'He gu (LI4, left and right hands)']",Tai chong: dorsum of left and right feet (first and second metatarsal cavity before integration); He gu: dorsum of left and right hands (between the first and second metacarpal and the midpoint of the second metacarpal radial side),bilateral,inserted,not_reported,,inserted and twirled,silver needle,0.30 mm in diameter and 25 mm long,False,not_applicable,not_applicable,3 minutes (during stimulation phase); needle withdrawn before post-acupuncture scan,3.0,3 minutes acupuncture stimulation followed by 10 minutes post-acupuncture fMRI,3.0,1,1.0,single session,not_reported,"remain still, keep their eyes closed and think of nothing in particular","According to traditional Chinese medicine, AD belongs to the category of dementia. He gu is the original point of the large intestine channel of hand yangming (LI4), playing an important role in dispelling wind and analgesia and restoring consciousness. Taichong is the original point of the liver channel of foot jueyin (Liv3), which functions to relieve the depressed liver and subdue the endogenous wind and sedatives. He gu and Tai chong are collectively named the Si Guan (four gates) point. Combined use of these two acupoints can harmonize yin and yang, regulate qi and blood, finally improve the cognitive ability of AD patients.",not_reported,not_reported,"single block experimental design, within-subject pre-post acupuncture fMRI, two-group comparison (AD patients vs healthy controls)"
24603951,arm_NC,Normal controls,healthy_control,14,14.0,Alzheimer disease (AD),manual_acupuncture,manual acupuncture,"['Tai chong (Liv3, left and right feet)', 'He gu (LI4, left and right hands)']",Tai chong: dorsum of left and right feet (first and second metatarsal cavity before integration); He gu: dorsum of left and right hands (between the first and second metacarpal and the midpoint of the second metacarpal radial side),bilateral,inserted,not_reported,,inserted and twirled,silver needle,0.30 mm in diameter and 25 mm long,False,not_applicable,not_applicable,3 minutes (during stimulation phase); needle withdrawn before post-acupuncture scan,3.0,3 minutes acupuncture stimulation followed by 10 minutes post-acupuncture fMRI,3.0,1,1.0,single session,not_reported,"remain still, keep their eyes closed and think of nothing in particular","According to traditional Chinese medicine, AD belongs to the category of dementia. He gu is the original point of the large intestine channel of hand yangming (LI4), playing an important role in dispelling wind and analgesia and restoring consciousness. Taichong is the original point of the liver channel of foot jueyin (Liv3), which functions to relieve the depressed liver and subdue the endogenous wind and sedatives. Combined use of these two acupoints can harmonize yin and yang, regulate qi and blood, finally improve the cognitive ability of AD patients.",not_reported,not_reported,"single block experimental design, within-subject pre-post acupuncture fMRI, two-group comparison (AD patients vs healthy controls)"
24734108,arm_stroke,stroke patients,other,9,9.0,Ischemic stroke (stable recovery/subacute phase) with unilateral right-sided striatocapsular lesions and moderate to severe motor deficits of the contralesional upper extremity,manual_acupuncture,manual acupuncture,['GB 34 (Yanglinquan)'],"GB 34 on the left leg (Yanglinquan, located in a depression anterior and inferior to the head of the fibula)",left leg,inserted vertically,2-3 cm,,needle was rotated bidirectionally to an amplitude of approximately 180° for 1 min at a rate of 120 times per min by a balanced 'tonifying and reducing' technique,sterile disposable 38-gauge sterling silver acupuncture needle,0.3 mm in diameter and 40 mm in length,False,not_applicable,not_applicable,needle removed after 1 min manipulation,1.0,1 min needle manipulation preceded by 10 seconds rest and followed by 8 min rest scanning,,one session per experiment; 8 patients underwent the experiment twice at an interval of two weeks; one patient only underwent the experiment once,,not_reported,"de qi sensations sought; subjects reported aching, pressure, soreness, heaviness, fullness, warmth, coolness, numbness, tingling, or dull or sharp pain",All subjects were not informed of the presumed acupuncture effects,GB 34 is one of the most frequently used acupoints and proved to have various efficacy in the treatments of hemiplegic stroke,same experienced and licensed acupuncturist on all subjects,Subjects were not informed of the presumed acupuncture effects; no formal blinding procedure described,"Observational fMRI study with within-subject repeated measures; stroke patients and healthy controls underwent three runs of fMRI scan (resting state before acupuncture, acupuncture run, passive finger movement); 8 patients underwent the experiment twice at an interval of two weeks"
24734108,arm_control,healthy controls,healthy_control,8,8.0,Ischemic stroke (stable recovery/subacute phase) with unilateral right-sided striatocapsular lesions and moderate to severe motor deficits of the contralesional upper extremity,manual_acupuncture,manual acupuncture,['GB 34 (Yanglinquan)'],"GB 34 on the left leg (Yanglinquan, located in a depression anterior and inferior to the head of the fibula)",left leg,inserted vertically,2-3 cm,,needle was rotated bidirectionally to an amplitude of approximately 180° for 1 min at a rate of 120 times per min by a balanced 'tonifying and reducing' technique,sterile disposable 38-gauge sterling silver acupuncture needle,0.3 mm in diameter and 40 mm in length,False,not_applicable,not_applicable,needle removed after 1 min manipulation,1.0,1 min needle manipulation preceded by 10 seconds rest and followed by 8 min rest scanning,,one session per experiment,1.0,not_reported,"de qi sensations sought; subjects reported aching, pressure, soreness, heaviness, fullness, warmth, coolness, numbness, tingling, or dull or sharp pain",All subjects were not informed of the presumed acupuncture effects,GB 34 is one of the most frequently used acupoints and proved to have various efficacy in the treatments of hemiplegic stroke,same experienced and licensed acupuncturist on all subjects,Subjects were not informed of the presumed acupuncture effects; no formal blinding procedure described,"Observational fMRI study with within-subject repeated measures; stroke patients and healthy controls underwent three runs of fMRI scan (resting state before acupuncture, acupuncture run, passive finger movement); 8 patients underwent the experiment twice at an interval of two weeks"
24734113,arm_stroke,stroke patients,verum_acupuncture,8,8.0,"Right hemispheric ischemic stroke (corona radiate, internal capsule, or basal ganglia infarction)",manual_acupuncture,manual acupuncture,['Yanglingquan (GB34)'],located in the lateral aspect of the posterior knee,left leg,vertically into GB34,2-3 cm,,rotating the needle clockwise and counterclockwise at 1 Hz with even reinforcing and reducing manipulation for 60 s,"sterile, single-use silver needle",25 mm in length and 0.30 mm in diameter,False,not_applicable,not_applicable,not_reported,,1-minute needle manipulation,1.0,one session (single administration during fMRI),1.0,single session,De-qi is believed to be essential to the therapeutic effectiveness of acupuncture and is often used as a signal to acupuncturists that the proper amount of needle stimulation is being performed,not_reported,"GB34, regarded as the meeting point of sinews and tendons according to the theory of Chinese medicine, is often used in the treatment of hemiplegia and motor dysfunction after stroke",same experienced and licensed acupuncturist,not_reported,Within-subject pre-post resting-state fMRI study with healthy controls as a comparison group; nonrepeated event-related-fMRI (NRER-fMRI) design
24734113,arm_healthy,healthy controls,healthy_control,10,10.0,"Right hemispheric ischemic stroke (corona radiate, internal capsule, or basal ganglia infarction)",manual_acupuncture,manual acupuncture,['Yanglingquan (GB34)'],located in the lateral aspect of the posterior knee,left leg,vertically into GB34,2-3 cm,,rotating the needle clockwise and counterclockwise at 1 Hz with even reinforcing and reducing manipulation for 60 s,"sterile, single-use silver needle",25 mm in length and 0.30 mm in diameter,False,not_applicable,not_applicable,not_reported,,1-minute needle manipulation,1.0,one session (single administration during fMRI),1.0,single session,De-qi is believed to be essential to the therapeutic effectiveness of acupuncture and is often used as a signal to acupuncturists that the proper amount of needle stimulation is being performed,not_reported,"GB34, regarded as the meeting point of sinews and tendons according to the theory of Chinese medicine, is often used in the treatment of hemiplegia and motor dysfunction after stroke",same experienced and licensed acupuncturist,not_reported,Within-subject pre-post resting-state fMRI study with healthy controls as a comparison group; nonrepeated event-related-fMRI (NRER-fMRI) design
24821143,arm_verum,verum acupuncture at ST36,verum_acupuncture,40,34.0,healthy (no disease condition),electroacupuncture,electroacupuncture,"['Zhusanli (ST36)', 'bilateral']",bilateral acupoints of Zhusanli (ST36),bilateral,inserted,15–20 mm,,handles of the needles were connected to an electro-acupuncture machine at frequency of 2 Hz and intensity of 2 mA; once the De-Qi sensation was elicited,"sterile and disposable acupuncture needles (Suzhou Medical Appliance Factory, China)",25 mm × 0.30 mm,True,2 Hz,2 mA,"from the time of needle-in to the time of needle-out, lasting more than 40 minutes",40.0,more than 40 minutes from the time of needle-in to the time of needle-out,40.0,one session with three runs (six blocks) of acupuncture fMRI,1.0,single session,yes; De-Qi sensation was elicited before connecting to electro-acupuncture machine,subjects were asked not to fall into sleep; asked to relax; ears plugged with cotton balls to reduce audio stimulations; asked to close their eyes and avoid any psychological activities during scanning,to investigate cumulative effects of typical clinical application of acupuncture; prolonged acupuncture stimulation suggested to investigate cumulative effects,a professional acupuncturist performed all operations of acupuncture,not_reported,within-subject repeated measures fMRI experiment with prolonged repeated acupuncture stimulation
24915066,arm_A,active acupoint group,verum_acupuncture,40,20.0,migraine without aura,manual_acupuncture,manual acupuncture,"['bilateral SJ5 (Waiguan)', 'bilateral GB20 (Fengchi)', 'bilateral GB34 (Yanglingquan)', 'bilateral GB40 (Qiuxu)']","SJ5: on the dorsal aspect of the forearm on the line connecting SJ4 and the tip of the elbow, 2 cun above the transverse crease of the wrist between the ulna and radius; GB20: in a depression between the upper portion of the sternocleidomastoid muscle and the trapezius; GB34: on the lateral aspect of the lower leg in the depression anterior and inferior to the head of the fibula; GB40: anterior and inferior to the external malleolus in a depression on the lateral side of the tendon of the extensor digitorum longus",bilateral,inserted,approximately 2.5 cm–3.5 cm,,Needles were twisted with rotation (90°<amplitude<180°) at a frequency of 1–2 Hz. Stimulation was repeated 1–3 times to acquire the de-qi sensation,"single-use stainless steel filiform needles (Hwato Needles, Sino-foreign Joint Venture Suzhou Hua Tuo Medical Instruments Co., China)",25 mm–40 mm in length and 0.25 mm–0.30 mm in diameter,False,not_applicable,not_applicable,30 minutes per session,30.0,30 minutes,30.0,"32 sessions over 8 weeks (once every other day, preferably 4 times a week)",32.0,8 weeks,"yes; de-qi sensation (soreness, numbness, heaviness, distention and dull pain at the site of needle placement) sought","patients were informed that they would receive one of two types of acupuncture treatment, which depended on different traditional Chinese acupuncture theories",active acupoints selected according to traditional classic and systematic reviews of ancient and modern literature of acupuncture for migraine upon several consensus meetings with experts based on the experience from previous study,two specialized acupuncturists with at least five years of training and three years of experience; received special training prior to the study,single-blind; two acupuncturists not blinded; investigators in charge of patient screening and randomized distribution knew group assignment but not corresponding treatment schedule; outcome assessor blinded throughout the study; patients blinded to group assignment,"single-blind, randomized controlled trial with two groups: active acupuncture group and inactive acupuncture group; resting-state fMRI conducted at baseline and end of treatment in a randomly selected subsample"
24915066,arm_B,inactive acupoint group,sham_acupuncture,40,20.0,migraine without aura,sham_needling,manual acupuncture at inactive acupoints,[],"SJ22: on the side of the head on the posterior border of the hairline of the temple at the level with the root of the auricle, posterior to the superficial temporal artery; PC7: in the middle of the transverse crease of the wrist between the tendons of the palmaris longus and flexor carpi radialis; GB37: on the lateral aspect of the lower leg 5 cun above the tip of the external malleolus on the anterior border of the fibula; SP3: proximal and inferior to the head of the 1st metatarsal-phalangeal joint in a depression at the junction of the red and white skin",bilateral,inserted,approximately 2.5 cm–3.5 cm,,Needles were twisted with rotation (90°<amplitude<180°) at a frequency of 1–2 Hz. Stimulation was repeated 1–3 times to acquire the de-qi sensation,"single-use stainless steel filiform needles (Hwato Needles, Sino-foreign Joint Venture Suzhou Hua Tuo Medical Instruments Co., China)",25 mm–40 mm in length and 0.25 mm–0.30 mm in diameter,False,not_applicable,not_applicable,30 minutes per session,30.0,30 minutes,30.0,"32 sessions over 8 weeks (once every other day, preferably 4 times a week)",32.0,8 weeks,yes; de-qi sensation sought (needling at inactive acupoints could effectively reduce bias; comparable de-qi sensations),"patients were informed that they would receive one of two types of acupuncture treatment, which depended on different traditional Chinese acupuncture theories","inactive acupoints chosen according to their anatomical locations, corresponding to Chinese meridians, proximity to verum acupoints and role in treating diseases",two specialized acupuncturists with at least five years of training and three years of experience; received special training prior to the study,single-blind; two acupuncturists not blinded; investigators in charge of patient screening and randomized distribution knew group assignment but not corresponding treatment schedule; outcome assessor blinded throughout the study; patients blinded to group assignment,"single-blind, randomized controlled trial with two groups: active acupuncture group and inactive acupuncture group; resting-state fMRI conducted at baseline and end of treatment in a randomly selected subsample"
24963329,arm_TA,True acupuncture at LR3,verum_acupuncture,15,15.0,Healthy volunteers (no disease condition),manual_acupuncture,manual_acupuncture,['LR3 (bilateral)'],bilateral LR3 localized according to Name and location of Acupoints: Chinese National Standards GB/T12346,bilateral,skin penetrating,vertically punctured at 15 mm ± 2 mm,15.0,"After removal of the tube, the needle was vertically punctured at 15 mm ± 2 mm. After developing needle sensation, twirling at an angle of 90–180° and frequency of 60–90 times/min and lifting and thrusting at a range of 0.3–0.5 cm and frequency of 60–90 times/min were conducted. After manipulating the needle for 1 min, the needle was held in place for 30 min. During the 30 min, physician repeated this manipulation for 1 min every 10 min.","Huatuo needles 0.30*(25 mm–45 mm), Suzhou Medical Supplies Co., Suzhou, China; tube needling technique",0.30*(25 mm–45 mm),False,not_applicable,not_applicable,held in place for 30 min,30.0,30 min retention plus manipulation,30.0,1,1.0,not_reported,After developing needle sensation,"Subjects were asked to pass urine and stool prior to treatment. Volunteers' eyes were masked with eyeshades, and earplugs were simultaneously worn so their audiovisual system could not be stimulated.",not_reported,same experienced physician,Volunteers were not told the order of true or sham acupuncture; volunteers' eyes were masked with eyeshades and earplugs worn,Within-subject resting-state fMRI study comparing preacupuncture and postacupuncture brain function after sham and true acupuncture at LR3
24963329,arm_SA,Sham acupuncture at LR3,sham_acupuncture,15,15.0,Healthy volunteers (no disease condition),sham_needling,sham_needling,['LR3 (bilateral)'],bilateral LR3 localized according to Name and location of Acupoints: Chinese National Standards GB/T12346,bilateral,no penetration; tip touched skin without puncturing,not_reported,,"The auxiliary part of the tube was applied to the skin, with a sham needle placed in the tube over the acupoint. The sham needle was then tapped to make its tip touch the skin without puncturing it and was maintained in place for 30 min.","sham needle (blunt, nonpenetrating); tube: DONGBANG AcuPrime, Exeter, UK",not_reported,False,not_applicable,not_applicable,maintained in place for 30 min,30.0,30 min,30.0,1,1.0,not_reported,not_reported,"Subjects were asked to pass urine and stool prior to treatment. Volunteers' eyes were masked with eyeshades, and earplugs were simultaneously worn so their audiovisual system could not be stimulated.",not_reported,same experienced physician,Volunteers were not told the order of true or sham acupuncture; volunteers' eyes were masked with eyeshades and earplugs worn,Within-subject resting-state fMRI study comparing preacupuncture and postacupuncture brain function after sham and true acupuncture at LR3
24968124,arm_mci,MCI patients,other,12,12.0,mild cognitive impairment (MCI); specifically amnestic MCI,manual_acupuncture,manual acupuncture,"['KI3 (Taixi, located in a depression between medial malleolus and heel tendon)']",located in a depression between medial malleolus and heel tendon,right leg,needle inserted vertically,1-2 cm,,balanced 'tonifying and reducing' technique; stimulation consisted of rotating the needle clockwise and counterclockwise for 1 min at a rate of 60 times per min,sterile disposable 38 gauge stainless steel acupuncture needle,0.2 mm in diameter and 40 mm in length,False,not_applicable,not_applicable,"needle inserted from beginning, resting 1 min, then manipulated for 2 min, then post-acupuncture resting state 6 min",,acupuncture run totally lasted for 9.0 minutes,9.0,one stimulation period given,1.0,single session,not_reported,participants were asked to keep their eyes closed and remain relaxed without engaging in any mental tasks,KI3 is one of the most frequently used acupoints and proved to have various efficacies in the treatments of dementia,same experienced and licensed acupuncturist on all participants,not_reported,non-repeated event-related (NRER) fMRI design; two-group comparison (MCI patients and age-matched healthy controls); within-subject comparison of pre- and post-acupuncture resting state
24968124,arm_hc,healthy controls,healthy_control,12,12.0,mild cognitive impairment (MCI); specifically amnestic MCI,manual_acupuncture,manual acupuncture,"['KI3 (Taixi, located in a depression between medial malleolus and heel tendon)']",located in a depression between medial malleolus and heel tendon,right leg,needle inserted vertically,1-2 cm,,balanced 'tonifying and reducing' technique; stimulation consisted of rotating the needle clockwise and counterclockwise for 1 min at a rate of 60 times per min,sterile disposable 38 gauge stainless steel acupuncture needle,0.2 mm in diameter and 40 mm in length,False,not_applicable,not_applicable,"needle inserted from beginning, resting 1 min, then manipulated for 2 min, then post-acupuncture resting state 6 min",,acupuncture run totally lasted for 9.0 minutes,9.0,one stimulation period given,1.0,single session,not_reported,participants were asked to keep their eyes closed and remain relaxed without engaging in any mental tasks,KI3 is one of the most frequently used acupoints and proved to have various efficacies in the treatments of dementia,same experienced and licensed acupuncturist on all participants,not_reported,non-repeated event-related (NRER) fMRI design; two-group comparison (MCI patients and age-matched healthy controls); within-subject comparison of pre- and post-acupuncture resting state
25220656,arm_PD,patients with PD,other,12,12.0,"Parkinson's disease (idiopathic, clinically definite)",manual_acupuncture,manual acupuncture,['right GB 34 (Yanglingquan)'],"on the fibular aspect of the leg, in the depression anterior and distal to the head of the fibula",right,needle manually inserted into the right GB 34,approximately 1.0 cm,10.0,blocks in which the needle was 'stimulated': needle rotated bidirectionally at 1 Hz; blocks in which the needle was 'not stimulated': needle only inserted into the skin and then left in place,not_reported,"0.25 × 40 mm, Dong Bang Acupuncture Inc. Seoul, Korea",False,not_applicable,not_applicable,not_reported,,5 minutes,5.0,1,1.0,single session,not_reported,instructed not to move their bodies and heads; instructed to rest with their eyes closed and not to move,GB 34 was chosen because it is reported that it leads to significant neuroprotective effects in PD animal models and significant improvements in patients with PD; frequently used acupoint for motor function treatment in the oriental medical field,An eastern medical doctor with more than 5 years of clinical experience,not_reported,functional magnetic resonance imaging study comparing brain activation in response to acupuncture in patients with PD and healthy participants; block design
25220656,arm_HC,healthy participants,healthy_control,12,12.0,"Parkinson's disease (idiopathic, clinically definite)",manual_acupuncture,manual acupuncture,['right GB 34 (Yanglingquan)'],"on the fibular aspect of the leg, in the depression anterior and distal to the head of the fibula",right,needle manually inserted into the right GB 34,approximately 1.0 cm,10.0,blocks in which the needle was 'stimulated': needle rotated bidirectionally at 1 Hz; blocks in which the needle was 'not stimulated': needle only inserted into the skin and then left in place,not_reported,"0.25 × 40 mm, Dong Bang Acupuncture Inc. Seoul, Korea",False,not_applicable,not_applicable,not_reported,,5 minutes,5.0,1,1.0,single session,not_reported,instructed not to move their bodies and heads; instructed to rest with their eyes closed and not to move,GB 34 was chosen because it is reported that it leads to significant neuroprotective effects in PD animal models and significant improvements in patients with PD; frequently used acupoint for motor function treatment in the oriental medical field,An eastern medical doctor with more than 5 years of clinical experience,not_reported,functional magnetic resonance imaging study comparing brain activation in response to acupuncture in patients with PD and healthy participants; block design
25228908,arm_verum,Acupuncture with de qi,verum_acupuncture,30,9.0,Healthy volunteers (no disease condition),manual_acupuncture,manual acupuncture,"['ST.36 (Zusanli)', 'LI.4 (Hegu)']","ST.36 is located in the tibialis anterior muscle, 4 fingerbreadths below the kneecap and 1 fingerbreadth lateral from the anterior crest of the tibia. LI.4 is located in the dorsal surface of the web between the thumb and the index finger.",right extremity,inserted vertically,2-3 cm,,rotated approximately 180° in each direction with even motion at the rate of one cycle per second; stimulation for 30 s at the rate of 60 times per minute with an amplitude of approximately 180° in each direction (S1–S5); 5 cycles of R-S acupuncture,"Disposable sterile stainless steel needles (KINGLI Medical Appliance Co., Ltd., Wuxi, China)",0.22 mm in diameter and 40 mm in length,False,not_applicable,not_applicable,needle kept in place for 2 min prior to needle manipulation; needle withdrawn after completion of 5 cycles of R-S acupuncture (total approximately 300 s = 5 min),,Needle in for full paradigm: 0–300 s (5 min plus initial 2 min pre-manipulation retention),,not_reported,,not_reported,"yes; sensitivity of the subject to needle manipulation was tested and adjusted to tolerance prior to procedure, aiming to elicit de qi sensation without noxious pain","subjects were instructed to lie still and keep their eyes closed during the procedure; questioned about sensations (aching, pressure, soreness, heaviness, fullness, warmth, cooling, numbness, tingling, and dull pain), sharp pain or any other sensations",These two acupoints were chosen because of their easy accessibility of de qi sensation and were most frequently used in acupuncture.,not_reported,not_reported,Within-subject experimental study in healthy adult volunteers investigating intrinsic changes in the human body after acupuncture with de qi
25452777,arm_healthy,healthy volunteer subjects,healthy_control,10,10.0,subcortical ischemic stroke (patient group); healthy volunteers (control group),manual_acupuncture,manual acupuncture,"['ST36', 'Zusanli']","tibialis anterior muscle, four fingerbreadths below the lower margin of the patella and one fingerbreadth across from the anterior crest of the tibia",left leg,inserted into the skin surface,1.0-2.0 cm,,needle inserted at a depth of 1.0-2.0 cm with a frequency of 2 Hz,stainless silver needle,0.3 mm in diameter and 40 mm in length,False,not_applicable,not_applicable,"30 sec per acupuncture block, 6 acupuncture blocks",,360 sec total (12 blocks of 30 sec each),6.0,1 session for AM condition,1.0,two sessions applied with an interval of seven days,"'De qi', a composite of unique sensations, was to be achieved through needle manipulation",instructed to lie quietly and to keep their eyes closed; foam cushions used to minimize head movement; earplugs used to reduce noise interference,"qi is strongest on the stomach meridian of Foot-Yangming between 7:00 a.m. and 9:00 a.m., which indicates that the optimum time for acupuncture at the Foot-Yangming is between 7:00 a.m. and 9:00 a.m.",same experienced and licensed acupuncturist,not_reported,Within-subject crossover fMRI study comparing acupuncture at two time periods in healthy volunteers and post-stroke patients
25452777,arm_stroke,post-stroke patients,other,10,10.0,subcortical ischemic stroke (patient group); healthy volunteers (control group),manual_acupuncture,manual acupuncture,"['ST36', 'Zusanli']","tibialis anterior muscle, four fingerbreadths below the lower margin of the patella and one fingerbreadth across from the anterior crest of the tibia",left leg,inserted into the skin surface,1.0-2.0 cm,,needle inserted at a depth of 1.0-2.0 cm with a frequency of 2 Hz,stainless silver needle,0.3 mm in diameter and 40 mm in length,False,not_applicable,not_applicable,"30 sec per acupuncture block, 6 acupuncture blocks",,360 sec total (12 blocks of 30 sec each),6.0,1 session for AM condition,1.0,two sessions applied with an interval of seven days,"'De qi', a composite of unique sensations, was to be achieved through needle manipulation",instructed to lie quietly and to keep their eyes closed; foam cushions used to minimize head movement; earplugs used to reduce noise interference,qi is strongest on the stomach meridian of Foot-Yangming between 7:00 a.m. and 9:00 a.m.,same experienced and licensed acupuncturist,not_reported,Within-subject crossover fMRI study comparing acupuncture at two time periods in healthy volunteers and post-stroke patients
25525442,arm_real,real acupoint,verum_acupuncture,21,21.0,"Healthy volunteers, no disease condition",manual_acupuncture,manual acupuncture,"['Taichong (Liv3) bilateral', 'Hegu (LI4) bilateral']","Taichong (Liv3): on the dorsum of the left and right feet, in the depression anterior to the junction of the first and second metatarsals; Hegu (LI4): on the dorsum of the left and right hands, at the midpoint on the radial side of the second metacarpal",bilateral,"yes, needle inserted",2 cm,20.0,"needles rotated continuously (±180°, 60 times per minute)",stainless nonmagnetic needles,0.3 mm in diameter and 25 mm long,False,not_applicable,not_applicable,"3 min stimulation, then needles withdrawn",3.0,"16-min total scan time; 3 min baseline, 3 min stimulation, 10 min post-needle withdrawal",16.0,single session (single block experimental design),1.0,single session,not_reported,"stay awake, hold still, keep eyes closed, and think nothing in particular","Siguan has been conventionally used for several symptoms, especially those of gastrointestinal and neurological disorders",same two skilled acupuncturists in synchrony,not_reported,"Single block experimental design, between-subjects comparison of real versus sham acupuncture"
25525442,arm_sham,sham acupoint,sham_acupuncture,10,10.0,"Healthy volunteers, no disease condition",sham_needling,manual acupuncture at sham/nonacupoint locations,[],sham acupoints located approximately 10 mm anterior to the corresponding real ones (Liv3 and LI4),bilateral (four sham points),"yes, needle inserted",2 cm,20.0,"needles rotated continuously (±180°, 60 times per minute)",stainless nonmagnetic needles,0.3 mm in diameter and 25 mm long,False,not_applicable,not_applicable,"3 min stimulation, then needles withdrawn",3.0,"16-min total scan time; 3 min baseline, 3 min stimulation, 10 min post-needle withdrawal",16.0,single session,1.0,single session,not_reported,"stay awake, hold still, keep eyes closed, and think nothing in particular",sham point design that entails needling at the same depth and with the same pattern but at a nonacupoint located 10 millimeters away from the real one,same two skilled acupuncturists in synchrony,not_reported,"Single block experimental design, between-subjects comparison of real versus sham acupuncture"
25741269,healthy_subjects,healthy subjects,healthy_control,45,,not_applicable,manual_acupuncture,complex somatosensory stimulation with acupuncture needles,['ST36 (Zusanli 䏣й䟼)'],anterior lower leg; skin area of ST36 belongs to L5 dermatome,right leg,vertically inserted into the skin,1–2 cm deep into the skin depending on the size of the respective muscle,,After 5 min the needle was stimulated (manually rotating 60–90/rpm and lift-thrusting 0.3–0.5 cm for 15 s). The 15 s stimulation was repeated after 5 min without stimulation.,"sterile, single use, individually wrapped acupuncture needles; asia-med standard, asia-med GmbH & Co. KG, Germany",0.30 × 30 mm,False,not_applicable,not_applicable,"5-min baseline, needle inserted, stimulated after 5 min and after a further 5 min, removed after a further 5 min, followed by 5 min without the needle",15.0,25.5 min,25.5,3 separate days in consecutive order,3.0,within 2 weeks and with at least 24 h interval between each measurement,not_reported,Subjects were told to sit down in a chair in the EEG room and relax with eyes open while concentrating on the point of needling.,Participants were informed: “... one acupuncture needle will be inserted into the muscle at three different points of the upper and lower leg. ...”,Chinese acupuncture physician,Participants were informed about the needle stimulation; subjects were blinded regarding the character of the different point locations and the researchers were blinded during the pre-processing of the data and during the first steps of data interpretation.,"blinded study including two series of experiments (one with EEG, one with fMRI) focusing on brain activity changes associated with complex somatosensory stimulation at one acupuncture point and two control points either close or distant to the acupuncture point"
25821486,arm_ACU,Group A – real acupuncture (ACU) treatment,verum_acupuncture,10,10.0,"overweight (BMI >18 and <30, higher WHR >0.9); classified as overweight/unfit",manual_acupuncture,manual acupuncture,"['ST 36 (Zu San Li)', 'SP 9 (Yin Ling Quan)']","ST 36 is 3 cun below ST 35 (Du Bi), which is in the depression lateral to the patellar ligament on the lower border of the patella when the knee is flexed and 1 cun lateral to the anterior crest of the tibia; SP 9: when the knee is flexed, located along the posterior border of the upper tibia",bilateral,inserted vertically to a depth of 2-3 cm,2-3 cm,,rotated in a 'tonifying and reducing' technique clockwise and counterclockwise at a rate of 60 times per minute (2 Hz) in an alternating bilateral diagonal manner at 30 sec intervals for a total of 2 min,paramagnetic,0.18 mm × 40 mm,False,not_applicable,not_applicable,21 min (scan duration with needles in),21.0,"21 min scan with needles in, plus prescan and postscan periods",21.0,single session (Experiment 1 Session I),1.0,single session,Subject was allowed to raise his right index finger if the De-qi sensations were painful; De-qi sensations evaluated post-stimulation on a standard Likert scale (0 being no sensation and 10 being the most intense sensation felt),Subject was allowed to raise his right index finger if the De-qi sensations were painful; lower legs were covered to mask the treatment choice,ST 36 and SP 9 selected as acupoints relevant to obesity/overweight treatment; acupoints affecting energy and feeding mechanisms,certified acupuncturist,The acupuncturist was the only nonblinded individual in the research group; lower legs were covered to mask the treatment choice,Randomized controlled trial; two-group parallel design with fMRI during intervention
25821486,arm_SHAM,Group B – minimal sham acupuncture treatment (min SHAM),sham_acupuncture,9,9.0,"overweight (BMI >18 and <30, higher WHR >0.9); classified as overweight/unfit",sham_needling,minimal sham acupuncture,[],SHAM acupoints located 2 cun lateral and dorsal to ST 36 and 2 cun medial to SP 9 on the same plane bilaterally,bilateral,inserted superficially and immediately removed,"superficial insertion only, immediately removed",,acupuncturist pretended to rotate needles as described for ACU procedure; no actual needle rotation performed,paramagnetic,0.18 mm × 40 mm,False,not_applicable,not_applicable,needles immediately removed after superficial insertion; pretend procedure continued for remainder of 21 min scan,,"21 min scan with pretend procedure, plus prescan and postscan periods",21.0,single session (Experiment 2 Session II),1.0,single session,not_reported,lower legs were covered to mask the treatment choice,control comparison for real acupuncture,certified acupuncturist,The acupuncturist was the only nonblinded individual in the research group; lower legs were covered to mask the treatment choice,Randomized controlled trial; two-group parallel design with fMRI during intervention
