pmid,contrast_id,contrast_label,contrast_type,analysis_method,analysis_family,n_coordinates,n_connectivity_edges,disease_condition
28334999,nc_19_dti_FA_local_ipsilesional_leg_NCS,Correlation: FA change in ipsilesional S1-leg area with median sensory nerve latency change following local acupuncture (null result),within-group longitudinal brain-behavior correlation,Pearson correlation between FA change and median sensory nerve latency change,,1,0,carpal tunnel syndrome (CTS)
28334999,nc_20_dti_FA_sham_ipsilesional_leg_NCS,Correlation: FA change in ipsilesional S1-leg area with median sensory nerve latency change following sham acupuncture (null result),within-group longitudinal brain-behavior correlation,Pearson correlation between FA change and median sensory nerve latency change,,1,0,carpal tunnel syndrome (CTS)
28334999,nc_21_dti_FA_S1face_no_correlation,Correlation: FA change in S1-face area with median sensory nerve latency change - no significant correlations for any therapy group,within-group longitudinal brain-behavior correlation (null for all groups),Pearson correlation between FA change and median sensory nerve latency change,,0,0,carpal tunnel syndrome (CTS)
28334999,16407533_C3,Correlation: fMRI signal [placebo(post-pre) - control(post-pre)] vs. pain rating difference — negative correlation,activation,activation,,10,0,carpal tunnel syndrome (CTS)
28334999,16407533_C4,Post-treatment high pain: Placebo > Control (within mask and outside mask),activation,activation,,16,0,carpal tunnel syndrome (CTS)
29204113,nc_corr_moxa_lhipp_pcun_cdai,Correlation between rsFC change (left hippocampus–right PCUN) and CDAI score change in moxibustion group,Pearson's correlation between rsFC change and CDAI change,Pearson's correlation,,0,1,Crohn's disease (CD) in remission
29204113,nc_corr_moxa_lhipp_ipc_cdai,Correlation between rsFC change (left hippocampus–left IPC) and CDAI score change in moxibustion group,Pearson's correlation between rsFC change and CDAI change,Pearson's correlation,,0,1,Crohn's disease (CD) in remission
29204113,nc_corr_ea_lhipp_mcc_cdai,Correlation between rsFC change (left hippocampus–left anterior MCC) and CDAI score change in electro-acupuncture group,Pearson's correlation between rsFC change and CDAI change,Pearson's correlation,,0,1,Crohn's disease (CD) in remission
29204113,nc_corr_ea_lhipp_insula_cdai,Correlation between rsFC change (left hippocampus–right insula) and CDAI score change in electro-acupuncture group,Pearson's correlation between rsFC change and CDAI change,Pearson's correlation,,0,1,Crohn's disease (CD) in remission
29204113,nc_corr_ea_lhipp_rhipp_cdai,Correlation between rsFC change (left hippocampus–right hippocampus) and CDAI score change in electro-acupuncture group,Pearson's correlation between rsFC change and CDAI change,Pearson's correlation,,0,1,Crohn's disease (CD) in remission
29204113,nc_corr_moxa_rhipp_pcun_cdai,Correlation between rsFC change (right hippocampus–right PCUN) and CDAI score change in moxibustion group,Pearson's correlation between rsFC change and CDAI change,Pearson's correlation,,0,1,Crohn's disease (CD) in remission
29204113,nc_corr_moxa_rhipp_ipc_cdai,Correlation between rsFC change (right hippocampus–right IPC) and CDAI score change in moxibustion group,Pearson's correlation between rsFC change and CDAI change,Pearson's correlation,,0,1,Crohn's disease (CD) in remission
29204113,nc_corr_ea_rhipp_mcc_cdai,Correlation between rsFC change (right hippocampus–left anterior MCC) and CDAI score change in electro-acupuncture group,Pearson's correlation between rsFC change and CDAI change,Pearson's correlation,,0,1,Crohn's disease (CD) in remission
29204113,nc_corr_ea_rhipp_insula_cdai,Correlation between rsFC change (right hippocampus–left insula) and CDAI score change in electro-acupuncture group,Pearson's correlation between rsFC change and CDAI change,Pearson's correlation,,0,1,Crohn's disease (CD) in remission
29343693,con_phnt_scr_covariate,Correlation between subjective brain activity and the skin conductance response metric for the PHNT group,covariate positive correlation,"analysis of covariance (ANCOVA, FSL-FEAT, cluster-corrected for multiple comparisons, Z = 2.3, p < 0.05)",,0,0,non-specific low back pain (LBP)
29343693,con_phnt_belief_covariate,Correlation between subjective brain activity and a score assessing belief in acupuncture effectiveness for the PHNT group,covariate positive correlation,"analysis of covariance (ANCOVA, FSL-FEAT, cluster-corrected for multiple comparisons, Z = 2.3, p < 0.05)",,0,0,non-specific low back pain (LBP)
29343693,con_phnt_vas_covariate,Correlation between subjective brain activity and pain reduction,covariate correlation,"analysis of covariance (ANCOVA, FSL-FEAT, cluster-corrected for multiple comparisons, Z = 2.3, p < 0.05)",,0,0,non-specific low back pain (LBP)
29343693,16046146_C3,Acupuncture Deqi+Pain vs Baseline (cerebrum and brainstem - signal increases),activation,activation,,25,0,non-specific low back pain (LBP)
29343693,16046146_C7,Acupuncture Deqi+Pain vs Baseline - Cerebellum (activations),activation,activation,,15,0,non-specific low back pain (LBP)
29763448,con_07_corr_SCC_MMSE,Correlation between MMSE scores and ALFF values of the SCC in AD patients,partial correlation; clinical variable vs ALFF in AD patients,"partial correlation analysis with age, gender and education as nuisance covariates",,0,1,Alzheimer disease (AD)
29763448,con_08_corr_SCC_MoCA,Correlation between MoCA scores and ALFF values of the SCC in AD patients,partial correlation; clinical variable vs ALFF in AD patients,"partial correlation analysis with age, gender and education as nuisance covariates",,0,1,Alzheimer disease (AD)
29763448,con_09_corr_hippo_AVLT,Correlation between AVLT scores and ALFF values of the right hippocampus in AD patients,partial correlation; clinical variable vs ALFF in AD patients,"partial correlation analysis with age, gender and education as nuisance covariates",,0,1,Alzheimer disease (AD)
29763448,con_10_corr_ITG_AVLT,Correlation between AVLT scores and ALFF values of the right inferior temporal gyrus in AD patients,partial correlation; clinical variable vs ALFF in AD patients,"partial correlation analysis with age, gender and education as nuisance covariates",,0,1,Alzheimer disease (AD)
29763448,con_11_corr_FC_hippo_precentral_AVLT,Correlation between AVLT scores and connectivity of the right hippocampus and left precentral gyrus in AD patients,partial correlation; clinical variable vs functional connectivity in AD patients,"partial correlation analysis with age, gender and education as nuisance covariates",,0,1,Alzheimer disease (AD)
29951105,nc_A_corr_MTG_MBI,Group A: correlation between GMV increase in left middle temporal gyrus and increase in MBI score,ROI-wise correlation between GMV change and MBI change,ROI-wise correlation analysis; peak voxel and neighboring 100 voxels selected as ROI; Pearson correlation coefficients calculated,,1,0,Ischemic stroke
29951105,nc_A_corr_ACC_MBI,Group A: correlation between GMV increase in left anterior cingulate cortex and increase in MBI score,ROI-wise correlation between GMV change and MBI change,ROI-wise correlation analysis; peak voxel and neighboring 100 voxels selected as ROI; Pearson correlation coefficients calculated,,1,0,Ischemic stroke
30034336,DC_TAG_gt_SAG,TAG>SAG (Degree Centrality),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,2,0,Parkinson's disease with tremor
30034336,DC_TAG_lt_SAG,TAG<SAG (Degree Centrality),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,1,0,Parkinson's disease with tremor
30034336,DC_TAG_gt_WG,TAG>WG (Degree Centrality),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,1,0,Parkinson's disease with tremor
30034336,DC_TAG_lt_WG,TAG<WG (Degree Centrality),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,1,0,Parkinson's disease with tremor
30034336,DC_SAG_gt_WG,SAG>WG (Degree Centrality),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,2,0,Parkinson's disease with tremor
30034336,ReHo_TAG_gt_SAG,TAG>SAG (Regional Homogeneity),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,7,0,Parkinson's disease with tremor
30034336,ReHo_TAG_lt_SAG,TAG<SAG (Regional Homogeneity),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,3,0,Parkinson's disease with tremor
30034336,ReHo_TAG_gt_WG,TAG>WG (Regional Homogeneity),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,6,0,Parkinson's disease with tremor
30034336,ReHo_TAG_lt_WG,TAG<WG (Regional Homogeneity),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,4,0,Parkinson's disease with tremor
30034336,ReHo_SAG_gt_WG,SAG>WG (Regional Homogeneity),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,1,0,Parkinson's disease with tremor
30034336,ReHo_SAG_lt_WG,SAG<WG (Regional Homogeneity),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,1,0,Parkinson's disease with tremor
30034336,ALFF_TAG_gt_SAG,TAG>SAG (ALFF),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,1,0,Parkinson's disease with tremor
30034336,ALFF_TAG_lt_SAG,TAG<SAG (ALFF),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,1,0,Parkinson's disease with tremor
30034336,ALFF_TAG_gt_WG,TAG>WG (ALFF),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,5,0,Parkinson's disease with tremor
30034336,ALFF_SAG_gt_WG,SAG>WG (ALFF),between-group post-hoc comparison after ANCOVA with pretreatment images as covariates,ANCOVA with pretreatment images as covariates; post hoc two-sample t-test with LSD correction,,2,0,Parkinson's disease with tremor
30881095,con_ALFF_corr_VAS1,"Correlation between ALFF in left insular (spherical area MNI -57, 12, 6; radius 6 mm) during rest1 and VAS1 score",Pearson correlation,Pearson correlation coefficient,,0,1,chronic low back pain (CLBP)
30881095,con_ALFF_corr_VAS2,"Correlation between ALFF in left insular (spherical area MNI -57, 12, 6; radius 6 mm) during rest2 and VAS2 score",Pearson correlation,Pearson correlation coefficient,,0,1,chronic low back pain (CLBP)
30881095,con_ALFF_change_corr_VAS_change,Correlation between ALFF change in the left insular and VAS change,Pearson correlation,Pearson correlation coefficient,,0,1,chronic low back pain (CLBP)
30914909,con_seed_redNucleus_XNKQ_vs_npws,Seed-based functional connectivity with seed in Red Nucleus: XNKQ vs. npws,seed-based functional connectivity: XNKQ < npws (decreased temporal correlation),complementary post-hoc seed-based functional connectivity analysis; temporal correlation between time series of seed region and all other voxels within the gray matter mask; 2 × 2 flexible factorial design with factors stimulation and location; no formal statistics applied (double dipping); visualization at voxel-wise whole brain FWE correction with peak-level p < 0.05,,2,0,Healthy volunteers (no disease condition)
30914909,con_seed_STN_XNKQ_vs_npws,Seed-based functional connectivity with seed in Subthalamic Nucleus: XNKQ vs. npws,seed-based functional connectivity: XNKQ < npws (decreased temporal correlation),complementary post-hoc seed-based functional connectivity analysis; temporal correlation between time series of seed region and all other voxels within the gray matter mask; 2 × 2 flexible factorial design with factors stimulation and location; no formal statistics applied (double dipping); visualization at voxel-wise whole brain FWE correction with peak-level p < 0.05,,1,0,Healthy volunteers (no disease condition)
30914919,contrast_connectivity_itch_correlation,Correlation of putamen-pMCC connectivity with itch intensity (VAS at 8 min) in acupuncture conditions,Pearson correlation between connectivity values and itch intensity,Pearson correlation,,0,1,experimentally induced histamine itch in healthy volunteers
31011330,nc_corr_LSPFG_immediateVAS,Correlation: L_SPFG z-score changes vs. immediate VAS score changes,correlation analysis,Correlation analysis between changes in mean DMN z-scores and changes in clinical pain measures,,0,0,Chronic migraine (CM) without aura
31011330,nc_corr_LPRECUN_immediateVAS,Correlation: L_PRECUN z-score changes vs. immediate VAS score changes,correlation analysis,Correlation analysis between changes in mean DMN z-scores and changes in clinical pain measures,,0,0,Chronic migraine (CM) without aura
31011330,nc_corr_LPRECUN_medchanges,Correlation: L_PRECUN z-score changes vs. monthly amount of acute headache medication changes,correlation analysis,Correlation analysis between changes in mean DMN z-scores and changes in clinical pain measures,,0,0,Chronic migraine (CM) without aura
31011330,nc_corr_LSPFG_medchanges,Correlation: L_SPFG z-score changes vs. monthly amount of acute headache medication changes,correlation analysis,Correlation analysis between changes in mean DMN z-scores and changes in clinical pain measures,,0,0,Chronic migraine (CM) without aura
31011330,nc_corr_LPRECUN_monthlyVAS,Correlation: L_PRECUN z-score changes vs. monthly mean VAS score change,correlation analysis,Correlation analysis between changes in mean DMN z-scores and changes in clinical pain measures,,0,0,Chronic migraine (CM) without aura
31011330,nc_corr_LSPFG_monthlyVAS,Correlation: L_SPFG z-score changes vs. monthly mean VAS score change,correlation analysis,Correlation analysis between changes in mean DMN z-scores and changes in clinical pain measures,,0,0,Chronic migraine (CM) without aura
31011330,nc_corr_LPRECUN_attacks,Correlation: L_PRECUN z-score changes vs. monthly headache attack changes,correlation analysis,Correlation analysis between changes in mean DMN z-scores and changes in clinical pain measures,,0,0,Chronic migraine (CM) without aura
31011330,nc_corr_LSPFG_attacks,Correlation: L_SPFG z-score changes vs. monthly headache attack changes,correlation analysis,Correlation analysis between changes in mean DMN z-scores and changes in clinical pain measures,,0,0,Chronic migraine (CM) without aura
31011330,nc_corr_LPRECUN_headachedays,Correlation: L_PRECUN z-score changes vs. monthly headache day changes,correlation analysis,Correlation analysis between changes in mean DMN z-scores and changes in clinical pain measures,,0,0,Chronic migraine (CM) without aura
31011330,nc_corr_LSPFG_headachedays,Correlation: L_SPFG z-score changes vs. monthly headache day changes,correlation analysis,Correlation analysis between changes in mean DMN z-scores and changes in clinical pain measures,,0,0,Chronic migraine (CM) without aura
31636536,nc_REAL_mPFC_pINS_correlation,Correlation between change in LBEpain and change in mPFC–pINS functional connectivity in REAL group (LBEpost vs. LBEpre),Positive correlation between decreased LBEpain and decreased functional connectivity between mPFC and pINS,Seed-voxel functional connectivity analysis; Pearson's r correlation between change in LBEpain (LBEpost – LBEpre) and change in functional connectivity (LBEpost – LBEpre); Fisher z-transformation applied,,0,1,Non-specific low back pain
31636536,nc_PHNT_PCC_aINS_correlation,Correlation between change in LBEpain and change in PCC–aINS functional connectivity in PHNT group (LBEpost vs. LBEpre),Negative correlation between decreased LBEpain and increased functional connectivity between PCC and aINS,Seed-voxel functional connectivity analysis; Pearson's r correlation between change in LBEpain (LBEpost – LBEpre) and change in functional connectivity (LBEpost – LBEpre); Fisher z-transformation applied,,0,1,Non-specific low back pain
31636536,nc_PHNT_S1back_pINS_correlation,Correlation between change in LBEpain and change in S1back–pINS functional connectivity in PHNT group (LBEpost vs. LBEpre),Trending positive correlation between decreased LBEpain and decreased S1back–pINS functional connectivity,Seed-voxel functional connectivity analysis; Pearson's r correlation between change in LBEpain (LBEpost – LBEpre) and change in functional connectivity (LBEpost – LBEpre); Fisher z-transformation applied,,0,1,Non-specific low back pain
32194493,contrast_10gm_regions_baseline,Baseline GM volume differences between responders and non-responders in 10 predictive regions,between-group comparison: responders vs. non-responders at baseline,two-sample t-test with Bonferroni correction,,10,0,Migraine without aura (MwoA)
32194493,contrast_corr_cuneus,Correlation between delta migraine days and baseline GM volume of left cuneus,Pearson correlation: clinical change vs. baseline GM volume,Pearson correlation,,1,0,Migraine without aura (MwoA)
32194493,contrast_corr_frontal,Correlation between delta migraine days and baseline GM volume of right middle frontal/inferior frontal gyrus,Pearson correlation: clinical change vs. baseline GM volume,Pearson correlation,,1,0,Migraine without aura (MwoA)
32194493,contrast_corr_parietal_L,Correlation between delta migraine days and baseline GM volume of left inferior parietal gyrus,Pearson correlation: clinical change vs. baseline GM volume,Pearson correlation,,1,0,Migraine without aura (MwoA)
32194493,contrast_corr_parietal_R,Correlation between delta migraine days and baseline GM volume of superior/inferior parietal gyrus,Pearson correlation: clinical change vs. baseline GM volume,Pearson correlation,,1,0,Migraine without aura (MwoA)
32194493,23843881_C19,Brain response correlated with pain reduction - Distal EA,activation,activation,,1,0,Migraine without aura (MwoA)
32194493,23843881_C20,Brain response correlated with pain reduction - Verum EA (nonflipped),activation,activation,,3,0,Migraine without aura (MwoA)
32194493,23843881_C21,Brain response correlated with pain reduction - Verum EA (flipped),activation,activation,,1,0,Migraine without aura (MwoA)
32377180,contrast_corr_dc_cms_contra,Pearson's correlation: DC in anterior/paracingulate cortex vs CMS change (contra-group),brain-behavior correlation,Pearson's correlation analysis,,0,1,"Chronic shoulder pain (CSP), unilateral (left-sided)"
32377180,contrast_corr_dc_cms_ipsi,Pearson's correlation: DC in anterior/paracingulate cortex vs CMS change (ipsi-group),brain-behavior correlation,Pearson's correlation analysis,,0,1,"Chronic shoulder pain (CSP), unilateral (left-sided)"
32377180,contrast_corr_dc_cerebthal_ipsi,Pearson's correlation: DC in bilateral cerebellum or right thalamus vs CMS/VAS change (ipsi-group),brain-behavior correlation,Pearson's correlation analysis,,0,1,"Chronic shoulder pain (CSP), unilateral (left-sided)"
32377180,contrast_between_groups_dc_multithresh,Group differences in DC between contra-group and ipsi-group at multiple thresholds (binary version),between-group comparison of DC change across multiple correlation thresholds,Independent t-test at multiple thresholds,,0,0,"Chronic shoulder pain (CSP), unilateral (left-sided)"
32807158,corr_AIS_fALFF,The relationship between the fALFF value of brain regions and AIS scores of PI,negative correlation between fALFF and AIS scores,multiple regression analysis with AIS score as covariable,,13,0,Primary insomnia (PI)
32908491,contrast_Jung2019_HT7_vs_PC6,Decoding spatial location of perceived pain: HT7 vs PC6 classification,Classification: neural response patterns to ACU at HT7 vs PC6,Linear SVM; no feature selection steps; LOOCV,,0,0,"Multiple (migraine, chronic low back pain, functional dyspepsia, healthy subjects) — review article covering multiple included studies"
32908491,contrast_Liu2018_mPFC_amygdala_DTI,Prediction of sham ACU responders vs nonresponders using mPFC-amygdala DTI measures,Classification: sham ACU responder vs nonresponder using baseline DTI diffusion measures,Linear SVM; filter + wrapper: traversing the p values of the two-sample t test from 0.01 to 1 with a 0.01 interval to find the best p for classifier; LOOCV,,3,0,"Multiple (migraine, chronic low back pain, functional dyspepsia, healthy subjects) — review article covering multiple included studies"
32908491,contrast_Yang2020_GMV_prediction,Prediction of ACU responders vs nonresponders using baseline GMV (MWOA),Classification: ACU responder vs nonresponder using baseline gray matter volume,Linear SVM; filter + wrapper + embedded: traversing p values of two-sample t test from 0.0025 to 0.05 with step of 0.0025 to select best p for classifier; LASSO; 10-fold CV,,8,0,"Multiple (migraine, chronic low back pain, functional dyspepsia, healthy subjects) — review article covering multiple included studies"
32908491,contrast_Tu2019_real_rsFC_prediction,Prediction of pain relief following real ACU in cLBP using baseline resting-state FC,Regression: baseline resting-state FC predicting symptom changes after real ACU,RBF SVR; selecting the features of interest; 5-fold CV,,0,8,"Multiple (migraine, chronic low back pain, functional dyspepsia, healthy subjects) — review article covering multiple included studies"
32908491,contrast_Tu2019_sham_rsFC_prediction,Prediction of pain relief following sham ACU in cLBP using baseline resting-state FC,Regression: baseline resting-state FC predicting symptom changes after sham ACU,RBF SVR; selecting the features of interest; 5-fold CV,,0,6,"Multiple (migraine, chronic low back pain, functional dyspepsia, healthy subjects) — review article covering multiple included studies"
32908491,contrast_Yin2020_rsFC_FD,Prediction of ACU responders vs nonresponders in FD using baseline resting-state FC,Classification: ACU responder vs nonresponder (FD) using baseline resting-state FC,Linear SVM; wrapper: recursive feature elimination; LOOCV,,0,5,"Multiple (migraine, chronic low back pain, functional dyspepsia, healthy subjects) — review article covering multiple included studies"
32908491,contrast_Hao2008_EEG_ECG_betaendorphin,Prediction of beta-endorphin alteration following electro-ACU using EEG and ECG parameters,Regression: EEG and ECG signal parameters predicting beta-endorphin alteration following electro-ACU,FNN (fuzzy neural network); selecting the features of interest; validation with an independent set,,0,0,"Multiple (migraine, chronic low back pain, functional dyspepsia, healthy subjects) — review article covering multiple included studies"
33013312,con_MANCOVA_group_x_time,Group differences in FC matrix alterations: 2×2 (group × time) MANCOVA between real and sham acupuncture,2 × 2 (group × time) multivariate analysis of covariance (MANCOVA) on the FC matrix,MANCOVA (2 × 2 group × time),,0,8,Primary dysmenorrhea (PDM)
33013312,con_MVPA_VAS_change,MVPA-based prediction of VAS change scores after treatment using baseline FC patterns,"multivariate pattern analysis, support vector regression (SVR), leave-one-out cross-validation","MVPA based on linear support vector regression (SVR, implemented by LIBSVM); leave-one-out cross-validation (LOOCV); effects of age, treatment method and duration of disease regressed out",,0,0,Primary dysmenorrhea (PDM)
33013312,con_MVPA_VAS_change_rate,MVPA-based prediction of VAS change rate after treatment using baseline FC patterns,"multivariate pattern analysis, support vector regression (SVR), leave-one-out cross-validation","MVPA based on linear support vector regression (SVR, implemented by LIBSVM); leave-one-out cross-validation (LOOCV); effects of age, treatment method and duration of disease regressed out",,0,0,Primary dysmenorrhea (PDM)
33013312,con_corr_FC_VAS_change,Traditional bivariate Pearson correlation between baseline FCs (from MANCOVA) and VAS changes after acupuncture treatment,Pearson correlation analysis,Traditional Pearson correlation analyses,,0,8,Primary dysmenorrhea (PDM)
33314799,nc_EA_S1leg_aINS_BPI_corr,Correlation: change in S1leg-aINS connectivity vs change in BPI severity (EA only),Pearson's correlation adjusted for age,Pearson's correlation adjusted for age,,0,3,Fibromyalgia (FM)
33314799,nc_EA_S1leg_pINS_BPI_corr,Correlation: change in S1leg-pINS connectivity vs change in BPI severity (EA only),Pearson's correlation adjusted for age,Pearson's correlation adjusted for age,,0,3,Fibromyalgia (FM)
33314799,nc_EA_S1leg_aINS_GABA_corr,Correlation: change in S1leg-aINS connectivity vs change in aINS GABA+ (EA only),Pearson's correlation adjusted for age,Pearson's correlation adjusted for age,,0,6,Fibromyalgia (FM)
33314799,nc_EA_aINS_GABA_BPI_corr,Correlation: change in aINS GABA+ vs change in BPI severity (EA only),Pearson's correlation adjusted for age,Pearson's correlation adjusted for age,,0,6,Fibromyalgia (FM)
33384580,cont_corr_FC_HIPR_MOGL_IBSSSS,Correlation: changed FC between MOG.L and HIP.R vs changed IBS-SSS,Pearson correlation between changed FC and changed clinical score,Pearson correlation coefficient,,0,1,Diarrhea-dominant Irritable Bowel Syndrome (IBS-D)
33384580,cont_corr_FC_MOGL_SOGR_IBSSSS,Correlation: changed FC between MOG.L and SOG.R vs changed IBS-SSS,Pearson correlation between changed FC and changed clinical score,Pearson correlation coefficient,,0,1,Diarrhea-dominant Irritable Bowel Syndrome (IBS-D)
33384580,cont_corr_FC_vermis6_cerebelum9R_IBSSSS,Correlation: changed FC between vermis6 and Cerebelum9.R vs changed IBS-SSS,Pearson correlation between changed FC and changed clinical score,Pearson correlation coefficient,,0,1,Diarrhea-dominant Irritable Bowel Syndrome (IBS-D)
33384580,cont_corr_FC_ORBsupL_LINGR_IBSSSS,Correlation: changed FC between ORBsup.L and LING.R vs changed IBS-SSS,Pearson correlation between changed FC and changed clinical score,Pearson correlation coefficient,,0,1,Diarrhea-dominant Irritable Bowel Syndrome (IBS-D)
33384580,cont_corr_FC_STGR_cerebelum8R_HAMA,Correlation: changed FC between STG.R and cerebelum8.R vs changed HAMA,Pearson correlation between changed FC and changed clinical score,Pearson correlation coefficient,,0,1,Diarrhea-dominant Irritable Bowel Syndrome (IBS-D)
33384580,cont_corr_degree_MOGR_QOL,Correlation: changed degree in MOG.R vs changed QOL,Pearson correlation between changed node degree and changed clinical score,Pearson correlation coefficient,,0,1,Diarrhea-dominant Irritable Bowel Syndrome (IBS-D)
33384580,cont_corr_disorder_FC_HIPR_IFGopercL_QOL,Disorder FC correlation: HIP.R and IFGoperc.L vs QOL in IBSbs,Pearson correlation between disorder FC and clinical score in IBSbs,Pearson correlation coefficient,,0,1,Diarrhea-dominant Irritable Bowel Syndrome (IBS-D)
33384580,cont_corr_disorder_FC_HIPR_IFGopercL_HAMA,Disorder FC correlation: HIP.R and IFGoperc.L vs HAMA in IBSbs,Pearson correlation between disorder FC and clinical score in IBSbs,Pearson correlation coefficient,,0,1,Diarrhea-dominant Irritable Bowel Syndrome (IBS-D)
33384580,cont_corr_disorder_FC_SOGR_LINGL_IBSSSS,Disorder FC correlation: SOG.R and LING.L vs IBS-SSS in IBSbs,Pearson correlation between disorder FC and clinical score in IBSbs,Pearson correlation coefficient,,0,1,Diarrhea-dominant Irritable Bowel Syndrome (IBS-D)
33384580,cont_corr_disorder_FC_vermis12_cerebelum45L_HAMA,Disorder FC correlation: vermis12 and cerebelum45.L vs HAMA in IBSbs,Pearson correlation between disorder FC and clinical score in IBSbs,Pearson correlation coefficient,,0,1,Diarrhea-dominant Irritable Bowel Syndrome (IBS-D)
33664320,contrast_FC_CON,Inter-regional correlation matrix: CON group,pairwise inter-regional correlation of c-Fos expression,Pearson correlation coefficients between c-Fos expression in 34 brain regions; networks constructed by thresholding square of Pearson correlations (threshold=0.288),,0,0,Normal mice (pain threshold and brain neural activity experiments); no disease model
33664320,contrast_FC_ACU,Inter-regional correlation matrix: ACU group,pairwise inter-regional correlation of c-Fos expression,Pearson correlation coefficients between c-Fos expression in 34 brain regions; networks constructed by thresholding square of Pearson correlations (threshold=0.288); degree and betweenness centrality computed,,0,8,Normal mice (pain threshold and brain neural activity experiments); no disease model
33664320,contrast_FC_ACUU,Inter-regional correlation matrix: ACU+U group,pairwise inter-regional correlation of c-Fos expression,Pearson correlation coefficients between c-Fos expression in 34 brain regions; networks constructed by thresholding square of Pearson correlations (threshold=0.288); degree and betweenness centrality computed,,0,4,Normal mice (pain threshold and brain neural activity experiments); no disease model
33776442,con_corr_VAS_P3_PoCGR,Correlation: ReHo of right postcentral gyri in Phase III vs VAS scores (positive),Pearson correlation: neural (Phase III ReHo) vs clinical (VAS),Pearson correlation,,0,1,mild depression
33776442,con_corr_VAS_P3_PoCGL,Correlation: ReHo of left postcentral gyri in Phase III vs VAS scores (positive),Pearson correlation: neural (Phase III ReHo) vs clinical (VAS),Pearson correlation,,0,1,mild depression
33776442,con_corr_VAS_P3_PCCR,Correlation: ReHo of right posterior cingulate cortex in Phase III vs VAS scores (negative),Pearson correlation: neural (Phase III ReHo) vs clinical (VAS),Pearson correlation,,0,1,mild depression
33776442,con_corr_VAS_P3_ANGR,Correlation: ReHo of right angular gyrus in Phase III vs VAS scores (negative),Pearson correlation: neural (Phase III ReHo) vs clinical (VAS),Pearson correlation,,0,1,mild depression
33776442,con_corr_VAS_P3_PCUNR,Correlation: ReHo of right precuneus in Phase III vs VAS scores (negative),Pearson correlation: neural (Phase III ReHo) vs clinical (VAS),Pearson correlation,,0,1,mild depression
33776442,con_corr_HRSD_P3_PoCGR,Correlation: ReHo of right postcentral gyri in Phase III vs HRSD-17 scores (positive),Pearson correlation: neural (Phase III ReHo) vs clinical (HRSD-17),Pearson correlation,,0,1,mild depression
33776442,con_corr_HRSD_P3_PoCGL,Correlation: ReHo of left postcentral gyri in Phase III vs HRSD-17 scores (positive),Pearson correlation: neural (Phase III ReHo) vs clinical (HRSD-17),Pearson correlation,,0,1,mild depression
33776442,con_corr_HRSD_P1_ANGR,Correlation: ReHo of right angular gyrus in Phase I vs HRSD-17 scores (positive),Pearson correlation: neural (Phase I ReHo) vs clinical (HRSD-17),Pearson correlation,,0,1,mild depression
34108856,con_corr_baselineFC_vs_analgesia,Correlation between FC of rACC-Precentral.L at baseline and short-term pain analgesia (VAS change),Pearson correlation,Pearson's correlation coefficient,,0,1,Primary dysmenorrhea (PDM)
34108856,con_corr_FCchange_vs_analgesia,Correlation between change of FC in rACC-Precentral.L and short-time pain analgesia in PDM patients after acupuncture treatment,Pearson correlation,Pearson's correlation coefficient,,0,1,Primary dysmenorrhea (PDM)
34122321,contrast_corr_angulargyrus_days_baseline,Positive correlation: change in ReHo value in the angular gyrus with days of migraine at baseline,correlation analysis (Pearson/Spearman) between ReHo change in angular gyrus and clinical outcome,Pearson/Spearman correlation,,0,1,migraine without aura (MwoA)
